Date,Open,High,Low,Close,Adj Close,Volume,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
04-Jun-2021,814.0,814.0,803.0999755859375,804.5999755859375,804.5999755859375,5081945.0,5084092,4103954751.4,115551,    2280871,         44.86
07-Jun-2021,807.9,811.75,802.6,803.85,804.6,2994862.0,2994862,2413749494.05,103621,    1816871,         60.67
08-Jun-2021,804.1,810.0,797.5,807.85,803.85,2960405.0,2960405,2386567624.15,75428,    1025924,         34.65
09-Jun-2021,808.0,816.75,801.0,804.45,807.85,4176767.0,4176767,3380514511.5,76510,    1333246,         31.92
10-Jun-2021,808.0,810.95,803.05,806.95,804.45,2264605.0,2264605,1826897877.1,46279,     943053,         41.64
11-Jun-2021,809.0,815.85,805.5,809.0,806.95,1783272.0,1783272,1446013249.8,43665,     626846,         35.15
14-Jun-2021,809.0,809.5,794.0,807.45,809.0,1598770.0,1598770,1284597592.6,45061,     420730,         26.32
15-Jun-2021,807.35,813.5,806.0,808.6,807.45,1640381.0,1640381,1327782362.1,43852,     887778,         54.12
16-Jun-2021,808.8,821.85,801.6,806.15,808.6,3863280.0,3863280,3143558355.8,82591,    1035348,         26.80
17-Jun-2021,802.0,809.9,792.55,805.7,806.15,1988175.0,1988175,1599130035.25,56075,     785354,         39.50
18-Jun-2021,806.0,808.95,773.1,781.55,805.7,5793496.0,5793496,4545566507.4,104284,    3480318,         60.07
21-Jun-2021,776.0,778.85,762.35,776.85,781.55,3024852.0,3024852,2331165995.8,77193,    1136155,         37.56
22-Jun-2021,780.1,789.55,772.7,775.2,776.85,2925669.0,2925669,2287575829.9,79221,    1312813,         44.87
23-Jun-2021,781.9,786.0,775.0,781.95,775.2,2700327.0,2700327,2109527748.35,62018,    1122100,         41.55
24-Jun-2021,783.0,794.0,779.0,791.8,781.95,3251137.0,3251137,2563196104.25,69415,    1526104,         46.94
25-Jun-2021,793.2,801.9,790.0,794.25,791.8,1763201.0,1763201,1401867122.7,48362,     582560,         33.04
28-Jun-2021,795.0,799.0,789.25,793.5,794.25,1409432.0,1409432,1118965329.0,51584,     621912,         44.13
29-Jun-2021,789.0,792.0,779.4,781.6,793.5,3167773.0,3167773,2482055311.0,78631,    1983663,         62.62
30-Jun-2021,784.9,789.4,775.45,777.7,781.6,2393862.0,2393862,1870377614.1,62828,    1346278,         56.24
01-Jul-2021,778.0,798.75,774.9,779.45,777.7,5697553.0,5697553,4471219887.25,90734,    1270684,         22.30
02-Jul-2021,786.0,787.3,777.0,782.6,779.45,1963778.0,1963778,1535410540.0,47998,     833342,         42.44
05-Jul-2021,786.0,793.5,784.5,791.75,782.6,1320469.0,1320469,1042095275.85,41752,     536392,         40.62
06-Jul-2021,790.6,795.0,778.7,781.9,791.75,1420179.0,1420179,1119462864.2,46551,     539223,         37.97
