Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,21STCENMGM,EQ,9960,9960,100.00
20,3,3MINDIA,EQ,1336,696,52.10
20,4,5PAISA,EQ,37331,24325,65.16
20,5,63MOONS,EQ,36669,24765,67.54
20,6,664GS2035,GS,1510,1510,100.00
20,7,667GS2035,GS,374,374,100.00
20,8,667GS2050,GS,2074,1873,90.31
20,9,676GS2061,GS,601,601,100.00
20,10,68GS2060,GS,1,1,100.00
20,11,716GS2050,GS,4500,4500,100.00
20,12,719GS2060,GS,1,1,100.00
20,13,A2ZINFRA,EQ,245528,177564,72.32
20,14,AAKASH,EQ,83940,44995,53.60
20,15,AAREYDRUGS,EQ,29822,20898,70.08
20,16,AARON,EQ,3026,1932,63.85
20,17,AARTIDRUGS,EQ,128684,75857,58.95
20,18,AARTIIND,EQ,643149,231568,36.01
20,19,AARTISURF,EQ,14555,6767,46.49
20,20,AARVEEDEN,EQ,51705,34861,67.42
20,21,AARVI,EQ,12984,6917,53.27
20,22,AAVAS,EQ,44383,17839,40.19
20,23,ABAN,EQ,91810,55467,60.41
20,24,ABB,EQ,67958,24305,35.76
20,25,ABBOTINDIA,EQ,93068,21870,23.50
20,26,ABCAPITAL,EQ,1447898,596171,41.17
20,27,ABFRL,EQ,5795738,987309,17.04
20,28,ABMINTLLTD,EQ,3825,3799,99.32
20,29,ABSLBANETF,EQ,246,146,59.35
20,30,ABSLNN50ET,EQ,322,322,100.00
20,31,ACC,EQ,319800,73474,22.97
20,32,ACCELYA,EQ,26249,14668,55.88
20,33,ACCURACY,EQ,70257,30593,43.54
20,34,ACE,EQ,677886,159314,23.50
20,35,ACRYSIL,EQ,146181,74802,51.17
20,36,ADANIENT,EQ,2311858,201562,8.72
20,37,ADANIGREEN,EQ,447943,302224,67.47
20,38,ADANIPORTS,EQ,4008108,533570,13.31
20,39,ADANIPOWER,EQ,3799113,1654326,43.55
20,40,ADFFOODS,EQ,10366,7206,69.52
20,41,ADORWELD,EQ,5891,3622,61.48
20,42,ADSL,EQ,529439,296449,55.99
20,43,ADVANIHOTR,EQ,46968,31812,67.73
20,44,ADVENZYMES,EQ,306252,117167,38.26
20,45,AEGISCHEM,EQ,462817,209779,45.33
20,46,AFFLE,EQ,70370,42960,61.05
20,47,AGARIND,EQ,67062,46723,69.67
20,48,AGROPHOS,EQ,35793,27115,75.76
20,49,AHLADA,EQ,25734,21313,82.82
20,50,AHLEAST,EQ,9140,1875,20.51
20,51,AHLUCONT,EQ,23460,13261,56.53
20,52,AHLWEST,EQ,8307,1012,12.18
20,53,AIAENG,EQ,11349,5144,45.33
20,54,AIROLAM,SM,69000,45000,65.22
20,55,AISL,SM,51600,38400,74.42
20,56,AJANTPHARM,EQ,63129,24777,39.25
20,57,AJOONI,EQ,138045,79092,57.29
20,58,AKASH,EQ,146428,61094,41.72
20,59,AKG,EQ,8131,6715,82.59
20,60,AKSHARCHEM,EQ,69540,38090,54.77
20,61,AKZOINDIA,EQ,6934,4234,61.06
20,62,ALANKIT,EQ,1598215,578816,36.22
20,63,ALBERTDAVD,EQ,11602,6303,54.33
20,64,ALEMBICLTD,EQ,215160,75583,35.13
20,65,ALICON,EQ,22106,10957,49.57
20,66,ALKALI,EQ,912171,259580,28.46
20,67,ALKEM,EQ,120974,48825,40.36
20,68,ALKYLAMINE,EQ,54531,30602,56.12
20,69,ALLCARGO,EQ,1935175,721605,37.29
20,70,ALLSEC,EQ,4580,3315,72.38
20,71,ALMONDZ,EQ,16606,13138,79.12
20,72,ALOKINDS,EQ,5275407,2481484,47.04
20,73,ALPA,EQ,44314,31658,71.44
20,74,ALPHAGEO,EQ,37497,18196,48.53
20,75,AMARAJABAT,EQ,1649510,492187,29.84
20,76,AMBER,EQ,351381,106942,30.43
20,77,AMBICAAGAR,EQ,15548,11119,71.51
20,78,AMBIKCO,EQ,126374,36738,29.07
20,79,AMBUJACEM,EQ,4662848,1912259,41.01
20,80,AMDIND,EQ,17764,12127,68.27
20,81,AMIORG,EQ,292452,99858,34.15
20,82,AMJLAND,EQ,63870,36017,56.39
20,83,AMRUTANJAN,EQ,59794,28467,47.61
20,84,ANANTRAJ,EQ,428742,265744,61.98
20,85,ANDHRAPAP,EQ,42686,28898,67.70
20,86,ANDHRSUGAR,EQ,266162,85874,32.26
20,87,ANDREWYU,EQ,91312,58615,64.19
20,88,ANGELBRKG,EQ,1946393,495087,25.44
20,89,ANIKINDS,EQ,4604,2779,60.36
20,90,ANMOL,EQ,121619,48749,40.08
20,91,ANSALAPI,EQ,189138,129419,68.43
20,92,ANSALHSG,EQ,179833,139180,77.39
20,93,ANUP,EQ,13502,7625,56.47
20,94,ANURAS,EQ,75384,42641,56.57
20,95,APARINDS,EQ,19307,8525,44.15
20,96,APCL,EQ,10280,6697,65.15
20,97,APCOTEXIND,EQ,364087,148347,40.74
20,98,APEX,EQ,82522,32982,39.97
20,99,APLAPOLLO,EQ,994083,585810,58.93
20,100,APLLTD,EQ,127931,42771,33.43
20,101,APOLLO,EQ,861484,259881,30.17
20,102,APOLLOHOSP,EQ,534563,249050,46.59
20,103,APOLLOPIPE,EQ,95729,64394,67.27
20,104,APOLLOTYRE,EQ,2017092,310748,15.41
20,105,APOLSINHOT,EQ,2981,1954,65.55
20,106,APTECHT,EQ,356741,85810,24.05
20,107,APTUS,EQ,1224476,864805,70.63
20,108,ARCHIDPLY,EQ,26610,18957,71.24
20,109,ARENTERP,EQ,3743,2945,78.68
20,110,ARIES,EQ,27114,14223,52.46
20,111,ARIHANT,EQ,18114,3986,22.01
20,112,ARIHANTCAP,EQ,40807,22001,53.91
20,113,ARIHANTSUP,EQ,82755,34829,42.09
20,114,ARMANFIN,EQ,27417,9189,33.52
20,115,AROGRANITE,EQ,34195,22595,66.08
20,116,ARROWGREEN,EQ,5426,4053,74.70
