Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2,21STCENMGM,EQ,2026,2026,100.00
20,3,3MINDIA,EQ,1014,527,51.97
20,4,5PAISA,EQ,51866,26827,51.72
20,5,610GS2031,GS,100,100,100.00
20,6,63MOONS,EQ,392387,217806,55.51
20,7,667GS2050,GS,224,224,100.00
20,8,676GS2061,GS,7100,7100,100.00
20,9,A2ZINFRA,EQ,466305,323013,69.27
20,10,AAATECH,SM,9000,6000,66.67
20,11,AAKASH,EQ,59328,36280,61.15
20,12,AARON,EQ,11490,7008,60.99
20,13,AARTIDRUGS,EQ,214009,99403,46.45
20,14,AARTIIND,EQ,947556,352815,37.23
20,15,AARTISURF,EQ,342073,81523,23.83
20,16,AARVEEDEN,EQ,28476,23300,81.82
20,17,AARVI,EQ,32412,21709,66.98
20,18,AAVAS,EQ,712616,382799,53.72
20,19,ABAN,EQ,122965,73554,59.82
20,20,ABB,EQ,75011,46264,61.68
20,21,ABBOTINDIA,EQ,43772,16130,36.85
20,22,ABCAPITAL,EQ,2791756,1327604,47.55
20,23,ABFRL,EQ,2206900,892435,40.44
20,24,ABSLBANETF,EQ,2006,1241,61.86
20,25,ABSLNN50ET,EQ,89,85,95.51
20,26,ABSLRIF6RG,MF,7000,7000,100.00
20,27,ACC,EQ,380386,113591,29.86
20,28,ACCELYA,EQ,52982,24166,45.61
20,29,ACCURACY,EQ,42706,22250,52.10
20,30,ACE,EQ,580132,274187,47.26
20,31,ACRYSIL,EQ,90130,47784,53.02
20,32,ADANIENT,EQ,3341801,633522,18.96
20,33,ADANIPORTS,EQ,14045587,2678690,19.07
20,34,ADFFOODS,EQ,26365,14706,55.78
20,35,ADORWELD,EQ,15680,8247,52.60
20,36,ADSL,EQ,343276,250602,73.00
20,37,ADVANIHOTR,EQ,370684,154637,41.72
20,38,ADVENZYMES,EQ,421887,193282,45.81
20,39,AEGISCHEM,EQ,585385,322347,55.07
20,40,AGARIND,EQ,46091,33980,73.72
20,41,AGRITECH,EQ,102315,63474,62.04
20,42,AGROPHOS,EQ,110174,65146,59.13
20,43,AHLADA,EQ,103295,64178,62.13
20,44,AHLEAST,EQ,14802,7817,52.81
20,45,AHLUCONT,EQ,12917,7247,56.10
20,46,AHLWEST,EQ,15629,8438,53.99
20,47,AIAENG,EQ,14884,8406,56.48
20,48,AIROLAM,SM,210000,135000,64.29
20,49,AISL,SM,26400,3600,13.64
20,50,AJANTPHARM,EQ,113179,55841,49.34
20,51,AJOONI,EQ,42618,37037,86.90
20,52,AKASH,EQ,13287,8255,62.13
20,53,AKG,EQ,5524,4071,73.70
20,54,AKSHARCHEM,EQ,157816,55962,35.46
20,55,AKZOINDIA,EQ,28652,20178,70.42
20,56,ALANKIT,EQ,15443012,6386217,41.35
20,57,ALBERTDAVD,EQ,21922,11944,54.48
20,58,ALEMBICLTD,EQ,387703,139076,35.87
20,59,ALICON,EQ,11733,6966,59.37
20,60,ALKALI,EQ,215315,112010,52.02
20,61,ALKEM,EQ,141941,38736,27.29
20,62,ALKYLAMINE,EQ,108095,53316,49.32
20,63,ALLCARGO,EQ,2311607,704701,30.49
20,64,ALLSEC,EQ,18781,11785,62.75
20,65,ALMONDZ,EQ,35025,23202,66.24
20,66,ALOKINDS,EQ,6368151,4147147,65.12
20,67,ALPA,EQ,171386,110200,64.30
20,68,ALPHAGEO,EQ,83786,50545,60.33
20,69,AMARAJABAT,EQ,1619322,528023,32.61
20,70,AMBER,EQ,28992,16389,56.53
20,71,AMBICAAGAR,EQ,69257,47034,67.91
20,72,AMBIKCO,EQ,70930,34661,48.87
20,73,AMBUJACEM,EQ,3559071,1597658,44.89
20,74,AMDIND,EQ,45569,28198,61.88
20,75,AMJLAND,EQ,271487,162910,60.01
20,76,AMRUTANJAN,EQ,25263,9783,38.72
20,77,ANDHRAPAP,EQ,37154,22554,60.70
20,78,ANDHRSUGAR,EQ,107113,56615,52.86
20,79,ANGELBRKG,EQ,367764,155130,42.18
20,80,ANIKINDS,EQ,23306,15702,67.37
20,81,ANMOL,EQ,21590,1184,5.48
20,82,ANSALAPI,EQ,641782,363518,56.64
20,83,ANSALHSG,EQ,290373,175159,60.32
20,84,ANUP,EQ,51153,27906,54.55
20,85,ANURAS,EQ,374128,257839,68.92
20,86,APARINDS,EQ,949234,193260,20.36
20,87,APCL,EQ,229415,98987,43.15
20,88,APCOTEXIND,EQ,110628,77870,70.39
20,89,APEX,EQ,179221,65423,36.50
20,90,APLAPOLLO,EQ,167990,117801,70.12
20,91,APLLTD,EQ,400707,169481,42.30
20,92,APOLLO,EQ,1070391,486576,45.46
20,93,APOLLOHOSP,EQ,305863,105144,34.38
20,94,APOLLOPIPE,EQ,68859,35232,51.17
20,95,APOLLOTYRE,EQ,4521311,1194891,26.43
20,96,APOLSINHOT,EQ,2669,1923,72.05
20,97,APTECHT,EQ,294253,134218,45.61
20,98,ARENTERP,EQ,2771,1558,56.23
20,99,ARIES,EQ,74433,41448,55.68
20,100,ARIHANT,EQ,9414,3717,39.48
20,101,ARIHANTCAP,EQ,31222,18265,58.50
20,102,ARIHANTSUP,EQ,25549,25549,100.00
20,103,ARMANFIN,EQ,16427,6345,38.63
20,104,AROGRANITE,EQ,142252,95199,66.92
20,105,ARROWGREEN,EQ,34103,23142,67.86
20,106,ARSHIYA,EQ,54365,39690,73.01
20,107,ARSSINFRA,EQ,29406,17551,59.69
20,108,ARTEMISMED,EQ,8802,4698,53.37
20,109,ARVIND,EQ,2792312,1659313,59.42
20,110,ARVINDFASN,EQ,1526648,632850,41.45
20,111,ARVSMART,EQ,160858,90619,56.33
20,112,ASAHIINDIA,EQ,103064,39236,38.07
20,113,ASAHISONG,EQ,176470,83815,47.50
20,114,ASALCBR,EQ,71588,43340,60.54
20,115,ASHIANA,EQ,167290,86095,51.46
20,116,ASHIMASYN,EQ,76847,63965,83.24
20,117,ASHOKA,EQ,1077247,369759,34.32
20,118,ASHOKLEY,EQ,27448033,11641298,42.41
20,119,ASIANHOTNR,EQ,9099,6331,69.58
20,120,ASIANPAINT,EQ,659295,281182,42.65
20,121,ASIANTILES,EQ,480972,271445,56.44
