Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1302,RESPONIND,EQ,58229,28349,48.69
20,1303,REVATHI,EQ,1459,780,53.46
20,1304,RGL,EQ,38501,9548,24.80
20,1305,RHFL,N4,11,11,100.00
20,1306,RHFL,N6,2,1,50.00
20,1307,RHIM,EQ,73632,39155,53.18
20,1308,RICOAUTO,EQ,1488011,508231,34.16
20,1309,RIIL,EQ,237276,63679,26.84
20,1310,RITES,EQ,627379,462705,73.75
20,1311,RKDL,EQ,34225,30024,87.73
20,1312,RKEC,EQ,31917,20541,64.36
20,1313,RKFORGE,EQ,103492,45784,44.24
20,1314,RMDRIP,SM,2000,2000,100.00
20,1315,RML,EQ,16471,6424,39.00
20,1316,ROHLTD,EQ,47406,23247,49.04
20,1317,ROLLT,EQ,986727,731711,74.16
20,1318,ROML,EQ,11820,8942,75.65
20,1319,ROSSARI,EQ,170024,63284,37.22
20,1320,ROSSELLIND,EQ,592735,212965,35.93
20,1321,ROUTE,EQ,1038130,179525,17.29
20,1322,RPGLIFE,EQ,284722,113503,39.86
20,1323,RPPINFRA,EQ,653893,203355,31.10
20,1324,RPPL,SM,18000,18000,100.00
20,1325,RPSGVENT,EQ,65787,38773,58.94
20,1326,RSSOFTWARE,EQ,37511,29234,77.93
20,1327,RSWM,EQ,308357,178696,57.95
20,1328,RSYSTEMS,EQ,316170,133558,42.24
20,1329,RUBYMILLS,EQ,471480,103789,22.01
20,1330,RUCHI,EQ,33570,23060,68.69
20,1331,RUCHIRA,EQ,295304,132075,44.73
20,1332,RUPA,EQ,1197612,490096,40.92
20,1333,RUSHIL,EQ,30076,21174,70.40
20,1334,RVHL,EQ,28071,14696,52.35
20,1335,RVNL,EQ,2340776,932347,39.83
20,1336,SADBHAV,EQ,1812622,778777,42.96
20,1337,SADBHIN,EQ,1175980,624980,53.15
20,1338,SAFARI,EQ,9766,3720,38.09
20,1339,SAGCEM,EQ,47705,27731,58.13
20,1340,SAIL,EQ,75594059,26202816,34.66
20,1341,SAKAR,EQ,51413,29811,57.98
20,1342,SAKSOFT,EQ,36345,19200,52.83
20,1343,SALASAR,EQ,123275,62385,50.61
20,1344,SALONA,EQ,87463,32688,37.37
20,1345,SALZERELEC,EQ,99306,41646,41.94
20,1346,SANCO,EQ,71491,55352,77.43
20,1347,SANDESH,EQ,6756,3198,47.34
20,1348,SANDHAR,EQ,97824,65347,66.80
20,1349,SANGAMIND,EQ,16484,9757,59.19
20,1350,SANGHIIND,EQ,1584256,795995,50.24
20,1351,SANGHVIMOV,EQ,181093,73822,40.76
20,1352,SANGINITA,EQ,428394,141803,33.10
20,1353,SANOFI,EQ,261839,122913,46.94
20,1354,SARLAPOLY,EQ,329403,164706,50.00
20,1355,SASKEN,EQ,42148,14845,35.22
20,1356,SATIA,EQ,794667,323908,40.76
20,1357,SATIN,EQ,136425,88228,64.67
20,1358,SBCL,EQ,36382,25041,68.83
20,1359,SBICARD,EQ,2201220,1297836,58.96
20,1360,SBIETFIT,EQ,1691,1604,94.86
20,1361,SBIETFPB,EQ,1516,1257,82.92
20,1362,SBIETFQLTY,EQ,608,478,78.62
20,1363,SBILIFE,EQ,4409570,1399613,31.74
20,1364,SBIN,EQ,17636515,5520335,31.30
20,1365,SCAPDVR,EQ,266436,215116,80.74
20,1366,SCHAEFFLER,EQ,26493,15108,57.03
20,1367,SCHAND,EQ,221619,98717,44.54
20,1368,SCHNEIDER,EQ,457523,177962,38.90
20,1369,SCI,EQ,1663492,732576,44.04
20,1370,SDBL,EQ,108178,102218,94.49
20,1371,SEAMECLTD,EQ,68036,32268,47.43
20,1372,SECURCRED,SM,3000,3000,100.00
20,1373,SECURKLOUD,EQ,33377,19416,58.17
20,1374,SELAN,EQ,62403,46258,74.13
20,1375,SEPOWER,EQ,31441,29512,93.86
20,1376,SEQUENT,EQ,1541084,503788,32.69
20,1377,SERVOTECH,SM,112000,84000,75.00
20,1378,SESHAPAPER,EQ,378452,93377,24.67
20,1379,SETCO,EQ,201683,160245,79.45
20,1380,SETF10GILT,EQ,702,698,99.43
20,1381,SETFGOLD,EQ,3637,1904,52.35
20,1382,SETFNIF50,EQ,359584,219969,61.17
20,1383,SETFNIFBK,EQ,214833,201568,93.83
20,1384,SETFNN50,EQ,15171,13557,89.36
20,1385,SEYAIND,EQ,99449,79035,79.47
20,1386,SFL,EQ,26131,22978,87.93
20,1387,SGBAPR28I,GB,168,164,97.62
