Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,310,COALINDIA,EQ,41551332,9404350,22.63
20,311,COCHINSHIP,EQ,130736,63436,48.52
20,312,COFFEEDAY,EQ,1014818,685868,67.59
20,313,COFORGE,EQ,522354,202062,38.68
20,314,COLPAL,EQ,239198,113736,47.55
20,315,COMPINFO,EQ,677022,264132,39.01
20,316,COMPUSOFT,EQ,49706,40129,80.73
20,317,CONCOR,EQ,3115104,708619,22.75
20,318,CONFIPET,EQ,10327998,2941454,28.48
20,319,CONSOFINVT,EQ,976028,762204,78.09
20,320,CONTI,SM,3333,3333,100.00
20,321,CONTROLPR,EQ,29851,23849,79.89
20,322,CORALFINAC,EQ,228624,107705,47.11
20,323,CORDSCABLE,EQ,34468,24456,70.95
20,324,COROMANDEL,EQ,804322,454371,56.49
20,325,COSMOFILMS,EQ,99889,49451,49.51
20,326,COUNCODOS,EQ,100017,72832,72.82
20,327,CPSEETF,EQ,14229727,12135859,85.29
20,328,CRAFTSMAN,EQ,27090,15651,57.77
20,329,CREATIVEYE,EQ,2850,2850,100.00
20,330,CREDITACC,EQ,128711,93223,72.43
20,331,CRISIL,EQ,41083,21085,51.32
20,332,CROMPTON,EQ,953711,539325,56.55
20,333,CROWN,SM,10000,9000,90.00
20,334,CSBBANK,EQ,331827,114217,34.42
20,335,CTE,EQ,50511,31282,61.93
20,336,CUB,EQ,719498,295419,41.06
20,337,CUBEXTUB,EQ,7588,4439,58.50
20,338,CUMMINSIND,EQ,438399,122662,27.98
20,339,CUPID,EQ,31272,19974,63.87
20,340,CYBERTECH,EQ,62666,40166,64.10
20,341,CYIENT,EQ,402333,209655,52.11
20,342,DAAWAT,EQ,2236335,744821,33.31
20,343,DABUR,EQ,1906140,1116096,58.55
20,344,DALBHARAT,EQ,265816,177768,66.88
20,345,DALMIASUG,EQ,41867,21686,51.80
20,346,DANGEE,EQ,1836,605,32.95
20,347,DATAMATICS,EQ,130027,72813,56.00
20,348,DBCORP,EQ,284325,92022,32.37
20,349,DBL,EQ,248247,95355,38.41
20,350,DBREALTY,EQ,466965,315970,67.66
20,351,DCAL,EQ,924087,356537,38.58
20,352,DCBBANK,EQ,1309576,750377,57.30
20,353,DCMNVL,EQ,25979,17998,69.28
20,354,DCMSHRIRAM,EQ,93212,57224,61.39
20,355,DCW,EQ,4220098,1829063,43.34
20,356,DECCANCE,EQ,47792,24107,50.44
20,357,DEEPAKFERT,EQ,222272,136904,61.59
20,358,DEEPAKNTR,EQ,952133,426574,44.80
20,359,DEEPINDS,EQ,118511,40442,34.13
20,360,DELPHIFX,EQ,7881,4947,62.77
20,361,DELTACORP,EQ,17653801,3819713,21.64
20,362,DELTAMAGNT,EQ,3943,2244,56.91
20,363,DEN,EQ,829688,380538,45.87
20,364,DENORA,EQ,16370,9895,60.45
20,365,DEVIT,SM,10500,10500,100.00
20,366,DEVYANI,EQ,2160490,1309858,60.63
20,367,DFMFOODS,EQ,50483,24184,47.91
20,368,DHAMPURSUG,EQ,397090,248725,62.64
20,369,DHANBANK,EQ,654244,358662,54.82
20,370,DHANI,EQ,1433833,850790,59.34
20,371,DHANILOANS,N3,200,200,100.00
20,372,DHANILOANS,N5,345,225,65.22
20,373,DHANILOANS,N6,511,511,100.00
20,374,DHANILOANS,N8,340,340,100.00
20,375,DHANILOANS,ND,40,40,100.00
20,376,DHANIPP,E1,89017,64958,72.97
20,377,DHANUKA,EQ,54904,27650,50.36
20,378,DHUNINV,EQ,1633,1002,61.36
20,379,DIAMONDYD,EQ,14893,6876,46.17
20,380,DICIND,EQ,3673,1363,37.11
20,381,DISHTV,EQ,10812496,5663975,52.38
20,382,DIVISLAB,EQ,1028992,627466,60.98
20,383,DIXON,EQ,401700,174828,43.52
20,384,DLF,EQ,21272633,4784120,22.49
20,385,DLINKINDIA,EQ,298641,148501,49.73
20,386,DMART,EQ,305671,187083,61.20
20,387,DODLA,EQ,203554,42950,21.10
20,388,DOLAT,EQ,271360,118734,43.76
20,389,DOLLAR,EQ,68117,38063,55.88
20,390,DONEAR,EQ,69524,40668,58.49
20,391,DPABHUSHAN,EQ,9114,6819,74.82
20,392,DPSCLTD,EQ,31209,21009,67.32
20,393,DPWIRES,EQ,15143,10864,71.74
20,394,DRCSYSTEMS,EQ,1074,762,70.95
20,395,DREDGECORP,EQ,99819,38146,38.22
20,396,DRL,SM,6000,6000,100.00
20,397,DRREDDY,EQ,305446,145554,47.65
20,398,DSML,SM,72000,66000,91.67
20,399,DSSL,EQ,127985,48002,37.51
20,400,DTIL,EQ,15708,8442,53.74
20,401,DUDIGITAL,SM,108000,64000,59.26
20,402,DVL,EQ,28713,19544,68.07
20,403,DWARKESH,EQ,789557,373765,47.34
20,404,DYNAMATECH,EQ,15048,5956,39.58
20,405,DYNPRO,EQ,31842,12978,40.76
20,406,E2E,SM,6000,4000,66.67
20,407,EASEMYTRIP,EQ,715394,334387,46.74
20,408,EASTSILK,EQ,157863,79079,50.09
20,409,EBANK,EQ,28,11,39.29
20,410,EBBETF0423,EQ,5107,5104,99.94
20,411,EBBETF0425,EQ,7019,3616,51.52
20,412,EBBETF0430,EQ,7115,6117,85.97
20,413,EBBETF0431,EQ,11041,9337,84.57
20,414,EC2RG,MF,2990,2990,100.00
20,415,EC5RG,MF,1,1,100.00
20,416,ECLERX,EQ,38830,30504,78.56
20,417,ECLFINANCE,NG,150,150,100.00
20,418,ECLFINANCE,NI,151,131,86.75
20,419,ECLFINANCE,NJ,15,15,100.00
20,420,ECLFINANCE,NK,274,273,99.64
20,421,ECLFINANCE,NM,20,20,100.00
20,422,ECLFINANCE,NN,171,171,100.00
20,423,ECLFINANCE,NO,435,419,96.32
20,424,ECLFINANCE,NP,504,504,100.00
20,425,ECLFINANCE,NR,444,413,93.02
20,426,EDELWEISS,EQ,1921788,839759,43.70
20,427,EHFLNCD,N5,183,165,90.16
20,428,EHFLNCD,N6,221,196,88.69
20,429,EICHERMOT,EQ,838118,206107,24.59
20,430,EIDPARRY,EQ,147881,50506,34.15
