Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1750,UNIENTER,EQ,23557,11356,48.21
20,1751,UNIINFO,SM,6000,4000,66.67
20,1752,UNIONBANK,EQ,12602430,5903984,46.85
20,1753,UNITEDTEA,EQ,1118,522,46.69
20,1754,UNIVASTU,EQ,401172,232934,58.06
20,1755,UNIVCABLES,EQ,29376,15999,54.46
20,1756,UNIVPHOTO,EQ,19407,13056,67.27
20,1757,UPL,EQ,3780191,1546186,40.90
20,1758,URJA,EQ,2668412,1776736,66.58
20,1759,USHAMART,EQ,2524496,1295099,51.30
20,1760,UTIAMC,EQ,78783,35726,45.35
20,1761,UTIBANKETF,EQ,10164,9520,93.66
20,1762,UTINEXT50,EQ,5430,3736,68.80
20,1763,UTINIFTETF,EQ,1055,947,89.76
20,1764,UTISENSETF,EQ,529,439,82.99
20,1765,UTISXN50,EQ,489,328,67.08
20,1766,V2RETAIL,EQ,80613,69257,85.91
20,1767,VADILALIND,EQ,30083,15401,51.20
20,1768,VAIBHAVGBL,EQ,86120,47344,54.97
20,1769,VAISHALI,EQ,55659,21982,39.49
20,1770,VAKRANGEE,EQ,3796133,1958561,51.59
20,1771,VALIANTORG,EQ,737453,204023,27.67
20,1772,VARDHACRLC,EQ,246279,156816,63.67
20,1773,VARROC,EQ,310704,175801,56.58
20,1774,VASCONEQ,EQ,1309757,927302,70.80
20,1775,VASWANI,EQ,26123,12276,46.99
20,1776,VBL,EQ,260461,157863,60.61
20,1777,VCL,SM,3000,3000,100.00
20,1778,VEDL,EQ,12193085,3569963,29.28
20,1779,VENKEYS,EQ,137611,31221,22.69
20,1780,VENUSREM,EQ,67550,36015,53.32
20,1781,VERTOZ,EQ,66337,51399,77.48
20,1782,VESUVIUS,EQ,8729,4588,52.56
20,1783,VETO,EQ,58868,37403,63.54
20,1784,VGUARD,EQ,892211,496072,55.60
20,1785,VHL,EQ,1148,841,73.26
20,1786,VIDHIING,EQ,574572,203937,35.49
20,1787,VIJAYA,EQ,498976,275883,55.29
20,1788,VIKASECO,EQ,9537524,7051872,73.94
20,1789,VIKASPROP,EQ,2145244,1656621,77.22
20,1790,VIKASWSP,EQ,1056104,736051,69.69
20,1791,VIMTALABS,EQ,33879,24223,71.50
20,1792,VINATIORGA,EQ,391143,161852,41.38
20,1793,VINDHYATEL,EQ,19403,9754,50.27
20,1794,VINEETLAB,EQ,28571,21421,74.97
20,1795,VINYLINDIA,EQ,1947170,313908,16.12
20,1796,VIPIND,EQ,233056,82057,35.21
20,1797,VIPULLTD,EQ,6823,6089,89.24
20,1798,VISAKAIND,EQ,47752,31814,66.62
20,1799,VISASTEEL,EQ,120736,83171,68.89
20,1800,VISHAL,EQ,39134,26840,68.58
20,1801,VISHNU,EQ,12609,9406,74.60
20,1802,VISHWARAJ,EQ,394369,189496,48.05
20,1803,VIVIDHA,EQ,1451439,789039,54.36
20,1804,VIVIMEDLAB,EQ,192468,130467,67.79
20,1805,VLSFINANCE,EQ,39745,25307,63.67
20,1806,VMARCIND,SM,120000,87000,72.50
20,1807,VMART,EQ,55405,18230,32.90
20,1808,VOLTAMP,EQ,9626,4592,47.70
20,1809,VOLTAS,EQ,1207112,688857,57.07
20,1810,VRLLOG,EQ,565347,134154,23.73
20,1811,VSSL,EQ,98320,47637,48.45
20,1812,VSTIND,EQ,4894,3129,63.94
20,1813,VSTTILLERS,EQ,71820,29370,40.89
20,1814,VTL,EQ,67148,27393,40.79
20,1815,WABAG,EQ,226491,114234,50.44
20,1816,WABCOINDIA,EQ,991,508,51.26
20,1817,WALCHANNAG,EQ,590461,340076,57.59
20,1818,WALPAR,SM,8000,8000,100.00
20,1819,WATERBASE,EQ,564746,231885,41.06
20,1820,WEBELSOLAR,EQ,261492,166533,63.69
20,1821,WEIZMANIND,EQ,10148,4222,41.60
20,1822,WELCORP,EQ,7129284,2846663,39.93
20,1823,WELENT,EQ,172590,89481,51.85
20,1824,WELINV,EQ,685,524,76.50
20,1825,WELSPUNIND,EQ,2543640,767297,30.17
20,1826,WENDT,EQ,252,171,67.86
20,1827,WESTLIFE,EQ,24999,10964,43.86
20,1828,WFL,SM,6400,6400,100.00
20,1829,WHEELS,EQ,132915,103345,77.75
20,1830,WHIRLPOOL,EQ,55119,21388,38.80
20,1831,WILLAMAGOR,EQ,44403,33044,74.42
20,1832,WINDLAS,EQ,64104,30486,47.56
20,1833,WINDMACHIN,EQ,61100,41663,68.19
20,1834,WIPRO,EQ,5456074,1922472,35.24
20,1835,WOCKPHARMA,EQ,553656,142235,25.69
20,1836,WONDERLA,EQ,102603,50684,49.40
20,1837,WORTH,EQ,40995,26270,64.08
20,1838,WSTCSTPAPR,EQ,1566971,650281,41.50
20,1839,XCHANGING,EQ,803902,458540,57.04
20,1840,XPROINDIA,EQ,97313,51246,52.66
20,1841,YAARII,EQ,75027,52777,70.34
20,1842,YESBANK,EQ,96849882,40206863,41.51
20,1843,YUKEN,EQ,2661,1180,44.34
20,1844,ZEEL,EQ,18671616,5832173,31.24
20,1845,ZEEL,P2,55138,52610,95.42
20,1846,ZEELEARN,EQ,983185,625150,63.58
20,1847,ZEEMEDIA,EQ,13788205,7817955,56.70
20,1848,ZENITHEXPO,EQ,13391,8021,59.90
20,1849,ZENSARTECH,EQ,741149,306385,41.34
20,1850,ZENTEC,EQ,629589,369340,58.66
20,1851,ZODIAC,SM,16000,8000,50.00
20,1852,ZODIACLOTH,EQ,83918,45857,54.65
20,1853,ZOMATO,EQ,10912142,6319193,57.91
20,1854,ZOTA,EQ,82305,46494,56.49
20,1855,ZYDUSWELL,EQ,317237,289334,91.20
