Date,Open,High,Low,Close,Adj Close,Volume
2020-05-27,87.44999694824219,87.69999694824219,85.30000305175781,85.8499984741211,85.8499984741211,1190388.0
2020-05-28,86.30000305175781,89.4000015258789,85.69999694824219,88.5,88.5,1219282.0
2020-05-29,88.0,90.44999694824219,87.55000305175781,88.30000305175781,88.30000305175781,1021743.0
2020-06-01,89.69999694824219,93.5999984741211,89.5,92.55000305175781,92.55000305175781,1481733.0
2020-06-02,92.94999694824219,94.80000305175781,91.6500015258789,93.30000305175781,93.30000305175781,1029727.0
2020-06-03,94.0,96.4000015258789,92.5,93.19999694824219,93.19999694824219,1425976.0
2020-06-04,93.19999694824219,94.5,92.05000305175781,92.5,92.5,585814.0
2020-06-05,92.80000305175781,96.25,92.80000305175781,95.5999984741211,95.5999984741211,1653891.0
2020-06-08,96.3499984741211,99.3499984741211,95.0999984741211,96.25,96.25,1932336.0
2020-06-09,97.0,97.05000305175781,92.5,93.6500015258789,93.6500015258789,941740.0
2020-06-10,93.6500015258789,96.25,93.0999984741211,95.6500015258789,95.6500015258789,795194.0
2020-06-11,95.0999984741211,100.5999984741211,94.25,96.80000305175781,96.80000305175781,5044273.0
2020-06-12,93.19999694824219,97.69999694824219,91.5,96.25,96.25,1311201.0
2020-06-15,95.69999694824219,96.80000305175781,94.05000305175781,94.4000015258789,94.4000015258789,587576.0
2020-06-16,95.4000015258789,96.4000015258789,91.0,93.19999694824219,93.19999694824219,780891.0
2020-06-17,91.19999694824219,94.5,91.19999694824219,93.0,93.0,492852.0
2020-06-18,92.5,102.3499984741211,92.3499984741211,100.80000305175781,100.80000305175781,7121241.0
2020-06-19,101.9000015258789,102.3499984741211,97.0999984741211,97.69999694824219,97.69999694824219,1931730.0
2020-06-22,98.0999984741211,107.0,97.55000305175781,103.69999694824219,103.69999694824219,7385757.0
2020-06-23,104.55000305175781,104.55000305175781,101.5999984741211,102.44999694824219,102.44999694824219,1446558.0
2020-06-24,103.30000305175781,104.94999694824219,99.0,99.30000305175781,99.30000305175781,1789086.0
2020-06-25,99.0,104.80000305175781,97.3499984741211,101.8499984741211,101.8499984741211,2362053.0
2020-06-26,102.69999694824219,103.75,100.19999694824219,101.19999694824219,101.19999694824219,3048987.0
2020-06-29,100.94999694824219,106.5999984741211,98.69999694824219,104.19999694824219,104.19999694824219,7692020.0
