,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,427961481000.0,381948553000.0,343181629000.0,284644431000.0
Minority Interest,6327647000.0,5766413000.0,5017945000.0,3563322000.0
Net Income,318332091000.0,272539506000.0,223324309000.0,185100242000.0
Selling General Administrative,214970023000.0,196864639000.0,168591223000.0,151373416000.0
Gross Profit,777974049000.0,712309108000.0,620129233000.0,523911430000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,427961481000.0,381948553000.0,343181629000.0,284639210000.0
Other Operating Expenses,135042545000.0,133495916000.0,108356381000.0,87898804000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,109393800000.0,108985900000.0,118725500000.0,99030800000.0
Total Revenue,777974049000.0,712309108000.0,620129233000.0,523911430000.0
Total Operating Expenses,350012568000.0,330360555000.0,276947604000.0,239272220000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,0.0,0.0,0.0,5221000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,318567681000.0,272962653000.0,224456129000.0,185613631000.0
Net Income Applicable To Common Shares,318332091000.0,272539506000.0,223324309000.0,185100242000.0
