,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,203639652000.0,112254680000.0,74082606000.0,109784647000.0
Minority Interest,95883393000.0,67947696000.0,65805358000.0,60081860000.0
Net Income,183843185000.0,95663078000.0,42542387000.0,77121865000.0
Selling General Administrative,228710400000.0,224467814000.0,195301654000.0,167183583000.0
Gross Profit,966356348000.0,827433668000.0,716671406000.0,667340939000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,203639652000.0,112254680000.0,74082606000.0,109784647000.0
Other Operating Expenses,533928685000.0,490597044000.0,447207900000.0,390241581000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,0.0,0.0,17191000000.0,18789200000.0
Total Revenue,966356348000.0,827433668000.0,716671406000.0,667340939000.0
Total Operating Expenses,762716696000.0,715178988000.0,642588800000.0,557556292000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,0.0,0.0,0.0,0.0
Discontinued Operations,,,,
Net Income From Continuing Ops,203639652000.0,112254680000.0,56891606000.0,90995447000.0
Net Income Applicable To Common Shares,183843185000.0,95663078000.0,42542387000.0,77121865000.0
