,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,41361300000.0,-14120069000.0,-19624923000.0,-61931628000.0
Minority Interest,7933800000.0,7301030000.0,6678733000.0,5217994000.0
Net Income,28906000000.0,-19864316000.0,6018528000.0,-39513951000.0
Selling General Administrative,130994800000.0,100304013000.0,85581595000.0,81580726000.0
Gross Profit,321664500000.0,145534615000.0,124544852000.0,34298667000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,38815500000.0,-15135039000.0,-21114002000.0,-64079412000.0
Other Operating Expenses,151854200000.0,60365641000.0,60077259000.0,16797353000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,11795700000.0,5090000000.0,-26585500000.0,-23206200000.0
Total Revenue,321664500000.0,145534615000.0,124544852000.0,34298667000.0
Total Operating Expenses,282849000000.0,160669654000.0,145658854000.0,98378079000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,2545800000.0,1014970000.0,1489079000.0,2147784000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,29565600000.0,-19210069000.0,6960577000.0,-38725428000.0
Net Income Applicable To Common Shares,28906000000.0,-19864316000.0,6018528000.0,-39513951000.0
