,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,72523876000.0,18787548000.0,50470907000.0,5658828000.0
Minority Interest,1737471000.0,1135557000.0,846147000.0,695129000.0
Net Income,71954962000.0,18531139000.0,50385889000.0,4558165000.0
Selling General Administrative,119404671000.0,104561476000.0,103083882000.0,92415389000.0
Gross Profit,264272625000.0,199445133000.0,217672779000.0,153542472000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,72523876000.0,18787548000.0,50470907000.0,5658828000.0
Other Operating Expenses,72344078000.0,76096109000.0,64117990000.0,55468255000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,24976900000.0,0.0,0.0,1018600000.0
Total Revenue,264272625000.0,199445133000.0,217672779000.0,153542472000.0
Total Operating Expenses,191748749000.0,180657585000.0,167201872000.0,147883644000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,0.0,0.0,0.0,0.0
Discontinued Operations,,,,
Net Income From Continuing Ops,72523876000.0,18787548000.0,50470907000.0,4640228000.0
Net Income Applicable To Common Shares,71954962000.0,18531139000.0,50385889000.0,4558165000.0
