,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,23337400000.0,9517000000.0,9698400000.0,9841800000.0
Total Liab,29057600000.0,28369700000.0,24024300000.0,22874300000.0
Total Stockholder Equity,56386800000.0,9874100000.0,9631900000.0,10340000000.0
Other Current Liab,2364900000.0,6137300000.0,6963500000.0,404200000.0
Total Assets,85444400000.0,38243800000.0,33656200000.0,33214300000.0
Common Stock,9659500000.0,5372400000.0,5372400000.0,5372400000.0
Other Current Assets,464300000.0,208900000.0,133800000.0,958800000.0
Other Liab,11160200000.0,3694400000.0,3723400000.0,9607700000.0
Good Will,24546600000.0,2853900000.0,2853900000.0,2853900000.0
Treasury Stock,46727300000.0,-2026000000.0,-2067500000.0,-1393300000.0
Other Assets,8561500000.0,6701700000.0,6384200000.0,6237600000.0
Cash,6529200000.0,2747900000.0,76000000.0,91300000.0
Total Current Liabilities,7769300000.0,14744200000.0,11400300000.0,4780900000.0
Deferred Long Term Asset Charges,9800000.0,204700000.0,110800000.0,172100000.0
Other Stockholder Equity,46727300000.0,-2026000000.0,-2067500000.0,-1393300000.0
Property Plant Equipment,17749100000.0,11482900000.0,10241600000.0,9959100000.0
Total Current Assets,11244700000.0,7683200000.0,4473000000.0,4321900000.0
Long Term Investments,5100000.0,5100000.0,5100000.0,
Net Tangible Assets,8502800000.0,-2496800000.0,-2920400000.0,-2355700000.0
Net Receivables,3713200000.0,4206600000.0,3895000000.0,2853200000.0
Long Term Debt,8428200000.0,7898800000.0,8886300000.0,8460600000.0
Inventory,538000000.0,433700000.0,260100000.0,282700000.0
Accounts Payable,4356900000.0,2935200000.0,2915900000.0,2665100000.0
Capital Surplus,,10767800000.0,10767800000.0,10767800000.0
Retained Earnings,,-4240100000.0,-4440800000.0,-4406900000.0
Short Long Term Debt,,68400000.0,379100000.0,265800000.0
