,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,433640000.0,496251000.0,655400000.0,726818000.0
Total Liab,16142811000.0,13126290000.0,17714817000.0,18901538000.0
Total Stockholder Equity,14990797000.0,18206049000.0,21398292000.0,20573289000.0
Other Current Liab,6470484000.0,4966168000.0,9040370000.0,9668592000.0
Total Assets,31133608000.0,31332339000.0,39113109000.0,39474827000.0
Common Stock,1694060000.0,1694060000.0,1694060000.0,847030000.0
Other Current Assets,2642527000.0,878186000.0,1540397000.0,2012237000.0
Retained Earnings,13345442000.0,16540210000.0,19692724000.0,19659813000.0
Other Liab,2615569000.0,2638177000.0,3169852000.0,2897071000.0
Treasury Stock,-48705000.0,-28221000.0,11508000.0,66446000.0
Other Assets,5132184000.0,4816407000.0,4691571000.0,5153139000.0
Cash,4051892000.0,1048115000.0,987766000.0,2011018000.0
Total Current Liabilities,13324743000.0,10219501000.0,14543195000.0,15998637000.0
Deferred Long Term Asset Charges,1031261000.0,1104864000.0,622215000.0,1037242000.0
Short Long Term Debt,240000.0,1530000.0,4060000.0,4060000.0
Other Stockholder Equity,-48705000.0,-28221000.0,11508000.0,66446000.0
Property Plant Equipment,3541241000.0,8270867000.0,13670968000.0,11730238000.0
Total Current Assets,22026543000.0,17748814000.0,20094620000.0,21864082000.0
Net Tangible Assets,14557157000.0,17709798000.0,20742892000.0,19846471000.0
Short Term Investments,7320145000.0,9570145000.0,10490145000.0,10690145000.0
Net Receivables,2410041000.0,1304158000.0,2100075000.0,2042242000.0
Inventory,5466981000.0,4830322000.0,4864935000.0,5001833000.0
Accounts Payable,4644700000.0,3570602000.0,4058148000.0,5058552000.0
Long Term Debt,,240000.0,1770000.0,5830000.0
Long Term Investments,,,550000.0,550000.0
