,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,400200000.0,555600000.0,407900000.0,23700000.0
Capital Surplus,125600000.0,125600000.0,125600000.0,125600000.0
Total Liab,14441700000.0,11016400000.0,10814700000.0,9812200000.0
Total Stockholder Equity,40529000000.0,37603000000.0,34163300000.0,31323200000.0
Minority Interest,362800000.0,216800000.0,200900000.0,163800000.0
Other Current Liab,1146100000.0,1188200000.0,1154900000.0,1216800000.0
Total Assets,55333500000.0,48836200000.0,45178900000.0,41299200000.0
Common Stock,538900000.0,538900000.0,538900000.0,538900000.0
Other Current Assets,1503900000.0,1645400000.0,1361200000.0,4511400000.0
Retained Earnings,39926900000.0,36998700000.0,33510500000.0,30662500000.0
Other Liab,1093400000.0,1081800000.0,1266900000.0,815100000.0
Good Will,197800000.0,197800000.0,195800000.0,22700000.0
Treasury Stock,-62400000.0,-60200000.0,-11700000.0,-3800000.0
Other Assets,2356800000.0,3189200000.0,4153400000.0,1628800000.0
Cash,1029400000.0,1802100000.0,933700000.0,632100000.0
Total Current Liabilities,12405200000.0,9172400000.0,9504300000.0,8900000000.0
Short Long Term Debt,62500000.0,49600000.0,70900000.0,86200000.0
Other Stockholder Equity,-62400000.0,-60200000.0,-11700000.0,-3800000.0
Property Plant Equipment,20590600000.0,19999700000.0,17208700000.0,13767000000.0
Total Current Assets,31778600000.0,24885400000.0,23203500000.0,25849900000.0
Long Term Investments,9500000.0,8500000.0,9600000.0,7100000.0
Net Tangible Assets,39931000000.0,36849600000.0,33559600000.0,31276800000.0
Short Term Investments,192200000.0,97300000.0,8500000.0,5000000.0
Net Receivables,10215700000.0,8008600000.0,7684900000.0,7139000000.0
Long Term Debt,171900000.0,234400000.0,43500000.0,97100000.0
Inventory,11979300000.0,10083500000.0,11110600000.0,8291800000.0
Accounts Payable,9068200000.0,5953900000.0,6933800000.0,6998700000.0
