,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,38545900000.0,30691900000.0,26549200000.0,20828000000.0
Capital Surplus,309626000000.0,277781200000.0,277780900000.0,277774000000.0
Total Liab,1679787600000.0,1742565500000.0,1622928500000.0,1479508000000.0
Total Stockholder Equity,742387700000.0,735763000000.0,689250800000.0,608706200000.0
Minority Interest,32696800000.0,25866000000.0,23644600000.0,9365200000.0
Deferred Long Term Liab,1100000.0,79500000.0,241000000.0,544700000.0
Other Current Liab,185747300000.0,104829000000.0,103852300000.0,82036700000.0
Total Assets,2454872100000.0,2504194500000.0,2335823900000.0,2097579400000.0
Common Stock,11974100000.0,11447500000.0,11447400000.0,11447500000.0
Other Current Assets,43929200000.0,84124500000.0,96077500000.0,39736200000.0
Retained Earnings,286683400000.0,303190400000.0,262457300000.0,199915400000.0
Other Liab,247028400000.0,184906700000.0,209159900000.0,195002900000.0
Good Will,43446900000.0,40545300000.0,39966200000.0,40994500000.0
Treasury Stock,134104200000.0,143343900000.0,137565200000.0,119569300000.0
Other Assets,269898900000.0,347935900000.0,283188900000.0,262641500000.0
Cash,55320800000.0,75419600000.0,29755300000.0,77835000000.0
Total Current Liabilities,708671300000.0,616609100000.0,610341300000.0,556614100000.0
Deferred Long Term Asset Charges,15780200000.0,12703300000.0,8089500000.0,10358000000.0
Short Long Term Debt,54768600000.0,19132100000.0,92769500000.0,32206600000.0
Other Stockholder Equity,134104200000.0,143343900000.0,137565200000.0,119569300000.0
Property Plant Equipment,1465831900000.0,1469158200000.0,1364074800000.0,1064825800000.0
Total Current Assets,602119000000.0,587327200000.0,589909800000.0,677746900000.0
Long Term Investments,35029500000.0,28536000000.0,32135000000.0,30542700000.0
Net Tangible Assets,660394900000.0,664525800000.0,622735400000.0,546883700000.0
Net Receivables,97916300000.0,82777200000.0,122267400000.0,127775600000.0
Long Term Debt,656980100000.0,882084500000.0,768838900000.0,699203000000.0
Inventory,332763800000.0,310687200000.0,316561000000.0,283310400000.0
Accounts Payable,218159000000.0,178172100000.0,172701600000.0,160006100000.0
