,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,38610000.0,45474000.0,36820000.0,30035000.0
Capital Surplus,13340329000.0,13274379000.0,13200433000.0,8323986000.0
Total Liab,65584476000.0,55601085000.0,37898800000.0,28502090000.0
Total Stockholder Equity,24008103000.0,20979152000.0,18370201000.0,11898464000.0
Other Current Liab,256998000.0,321941000.0,245223000.0,308810000.0
Total Assets,89592579000.0,76580237000.0,56269001000.0,40400554000.0
Common Stock,785046000.0,783227000.0,781079000.0,691729000.0
Other Current Assets,8994861000.0,8720945000.0,5416541000.0,2210406000.0
Retained Earnings,9701880000.0,6804348000.0,4314454000.0,2551863000.0
Other Liab,1236427000.0,855331000.0,832251000.0,462403000.0
Treasury Stock,180848000.0,117198000.0,74235000.0,330886000.0
Other Assets,2311534000.0,120813000.0,,
Cash,220981000.0,3505939000.0,1600299000.0,3584871000.0
Total Current Liabilities,10699827000.0,2052685000.0,5738055000.0,989215000.0
Short Long Term Debt,10040410000.0,481532000.0,4630653000.0,
Other Stockholder Equity,180848000.0,117198000.0,74235000.0,330886000.0
Property Plant Equipment,548078000.0,560616000.0,192297000.0,154544000.0
Total Current Assets,86545036000.0,75974147000.0,56039884000.0,40215975000.0
Long Term Investments,149321000.0,,,
Net Tangible Assets,23969493000.0,20933678000.0,18333381000.0,11868429000.0
Net Receivables,77329194000.0,63747263000.0,49014258000.0,34420698000.0
Long Term Debt,53413818000.0,52481733000.0,31328494000.0,27050472000.0
Accounts Payable,28540000.0,173864000.0,95024000.0,91391000.0
