,2018-03-31,2017-03-31,2016-03-31,2015-03-31
Intangible Assets,29786300000.0,27255000000.0,17843800000.0,19054700000.0
Capital Surplus,21868600000.0,23835900000.0,23340200000.0,23214000000.0
Total Liab,921852500000.0,786472600000.0,682192300000.0,630953700000.0
Total Stockholder Equity,367751900000.0,297379900000.0,264926500000.0,258563800000.0
Minority Interest,82504700000.0,63569000000.0,59202000000.0,58922300000.0
Deferred Long Term Liab,26780100000.0,17890100000.0,18717900000.0,8895100000.0
Other Current Liab,46717000000.0,42026000000.0,36653700000.0,55237200000.0
Total Assets,1372109100000.0,1147421500000.0,1006320800000.0,948439800000.0
Common Stock,5431300000.0,2708900000.0,2704000000.0,2957000000.0
Other Current Assets,34108200000.0,16177400000.0,11925500000.0,6666700000.0
Retained Earnings,317174200000.0,250728000000.0,219276400000.0,205813600000.0
Other Liab,92265300000.0,86902800000.0,79769100000.0,70355400000.0
Good Will,21596700000.0,5586100000.0,5421700000.0,7642700000.0
Treasury Stock,23277800000.0,20107100000.0,19605900000.0,26579200000.0
Other Assets,396079500000.0,323456200000.0,272709300000.0,260055100000.0
Cash,65476000000.0,46540300000.0,45275500000.0,49118300000.0
Total Current Liabilities,491495400000.0,398324700000.0,366435400000.0,337328000000.0
Deferred Long Term Asset Charges,8416000000.0,9066700000.0,7802600000.0,4677700000.0
Short Long Term Debt,558979200000.0,487619100000.0,415529300000.0,382755800000.0
Other Stockholder Equity,23277800000.0,20107100000.0,19605900000.0,26579200000.0
Property Plant Equipment,226350600000.0,201948300000.0,187577200000.0,185196300000.0
Total Current Assets,590760200000.0,487877600000.0,439112000000.0,397501100000.0
Long Term Investments,107535800000.0,101298300000.0,83656800000.0,78989900000.0
Net Tangible Assets,316368900000.0,264538800000.0,241661000000.0,231866400000.0
Short Term Investments,57339700000.0,49982600000.0,38103500000.0,21281500000.0
Net Receivables,340480600000.0,286317200000.0,252646300000.0,235900700000.0
Long Term Debt,338091800000.0,301245100000.0,235987800000.0,223270300000.0
Inventory,93355700000.0,88860100000.0,91161200000.0,84533900000.0
Accounts Payable,182873400000.0,147968700000.0,133764900000.0,114212700000.0
