,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,400000.0,400000.0,300000.0,1000000.0
Capital Surplus,157700000.0,157700000.0,157700000.0,157700000.0
Total Liab,13736700000.0,12792200000.0,11431400000.0,10132200000.0
Total Stockholder Equity,25788700000.0,21782500000.0,17474600000.0,14186800000.0
Other Current Liab,986800000.0,1611400000.0,2266700000.0,1751000000.0
Total Assets,39525400000.0,34574700000.0,28906000000.0,24319000000.0
Common Stock,88400000.0,88400000.0,88400000.0,88400000.0
Other Current Assets,1136500000.0,1092300000.0,1386200000.0,986900000.0
Retained Earnings,25589200000.0,21651900000.0,17216800000.0,13969500000.0
Other Liab,440600000.0,460200000.0,374300000.0,140300000.0
Treasury Stock,-46600000.0,-115500000.0,11700000.0,-28800000.0
Other Assets,2248200000.0,2912400000.0,2829800000.0,2754200000.0
Cash,2313700000.0,2635300000.0,2152400000.0,3807200000.0
Total Current Liabilities,12748400000.0,11693100000.0,11057100000.0,9991900000.0
Deferred Long Term Asset Charges,548700000.0,568900000.0,745200000.0,766600000.0
Other Stockholder Equity,-46600000.0,-115500000.0,11700000.0,-28800000.0
Property Plant Equipment,2186600000.0,2102800000.0,931600000.0,849200000.0
Total Current Assets,35090200000.0,29559100000.0,25144300000.0,20714600000.0
Net Tangible Assets,25788300000.0,21782100000.0,17474300000.0,14185800000.0
Short Term Investments,15650000000.0,12500000000.0,10090100000.0,5382400000.0
Net Receivables,15024400000.0,12108700000.0,10452000000.0,9729000000.0
Inventory,954100000.0,1208900000.0,1050600000.0,797700000.0
Accounts Payable,10966900000.0,9262200000.0,8310000000.0,7707800000.0
