,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,103700000.0,54300000.0,50200000.0,65100000.0
Capital Surplus,126900000.0,126900000.0,126900000.0,126900000.0
Total Liab,21901200000.0,18368600000.0,15663700000.0,14294700000.0
Total Stockholder Equity,28583100000.0,25634800000.0,21453800000.0,17963400000.0
Other Current Liab,1763300000.0,1500700000.0,853800000.0,751900000.0
Total Assets,50484300000.0,44003400000.0,37117500000.0,32258100000.0
Common Stock,1268700000.0,1268700000.0,1268700000.0,1268700000.0
Other Current Assets,1523600000.0,1293200000.0,1116700000.0,1072500000.0
Retained Earnings,25059900000.0,22164600000.0,18051300000.0,14617400000.0
Other Liab,2587200000.0,2143800000.0,1989000000.0,1636500000.0
Treasury Stock,2127600000.0,2074600000.0,2006900000.0,1950400000.0
Other Assets,1466100000.0,1367400000.0,1757900000.0,1421600000.0
Cash,20604600000.0,12741600000.0,10531100000.0,9750100000.0
Total Current Liabilities,18925300000.0,16077600000.0,13674700000.0,12658200000.0
Deferred Long Term Asset Charges,416700000.0,374900000.0,344000000.0,279000000.0
Other Stockholder Equity,2127600000.0,2074600000.0,2006900000.0,1950400000.0
Property Plant Equipment,7378800000.0,7475600000.0,5465200000.0,4724600000.0
Total Current Assets,39462000000.0,33217900000.0,24637100000.0,21483600000.0
Long Term Investments,2073700000.0,1888200000.0,5207100000.0,4563200000.0
Net Tangible Assets,28479400000.0,25580500000.0,21403600000.0,17898300000.0
Net Receivables,4596000000.0,3740400000.0,2720000000.0,2559800000.0
Inventory,12737800000.0,11659400000.0,8886000000.0,8101200000.0
Accounts Payable,16570600000.0,14291500000.0,12362200000.0,11529800000.0
Short Term Investments,,3783300000.0,1383300000.0,
