,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,6996500000.0,1107400000.0,595100000.0,762500000.0
Total Liab,74952000000.0,86777700000.0,51921900000.0,46407300000.0
Total Stockholder Equity,26437900000.0,10678900000.0,14288800000.0,10931100000.0
Minority Interest,324800000.0,199000000.0,,
Other Current Liab,7280200000.0,5504300000.0,4308100000.0,2134600000.0
Total Assets,101714700000.0,97655600000.0,66210700000.0,57338400000.0
Common Stock,9150500000.0,7739500000.0,7734800000.0,7716900000.0
Other Current Assets,5013900000.0,6361800000.0,5227800000.0,2507500000.0
Other Liab,7019800000.0,2895500000.0,3905500000.0,2818000000.0
Good Will,19972600000.0,19830600000.0,18596000000.0,18596000000.0
Treasury Stock,17287400000.0,-347800000.0,439700000.0,328300000.0
Other Assets,7441900000.0,5995100000.0,6687700000.0,4499900000.0
Cash,2617500000.0,2668000000.0,571900000.0,725600000.0
Total Current Liabilities,42247200000.0,57104600000.0,40778600000.0,31710200000.0
Deferred Long Term Asset Charges,3339200000.0,1949600000.0,2633800000.0,688200000.0
Short Long Term Debt,3180100000.0,4142200000.0,5046300000.0,1030900000.0
Other Stockholder Equity,17287400000.0,657100000.0,439700000.0,328300000.0
Property Plant Equipment,27537300000.0,28938200000.0,6587600000.0,6923400000.0
Total Current Assets,39025900000.0,41708800000.0,33691600000.0,26503000000.0
Long Term Investments,740500000.0,75500000.0,52700000.0,53600000.0
Net Tangible Assets,-531200000.0,-10259100000.0,-4902300000.0,-8427400000.0
Short Term Investments,5554800000.0,,,
Net Receivables,7370100000.0,8792000000.0,8425900000.0,6043100000.0
Long Term Debt,8143700000.0,8569300000.0,7237800000.0,11879100000.0
Inventory,18469600000.0,23667800000.0,19212800000.0,16912000000.0
Accounts Payable,23734400000.0,22899200000.0,23974200000.0,20093200000.0
Capital Surplus,,7736400000.0,7635200000.0,7619000000.0
Retained Earnings,,-4449200000.0,-1520900000.0,-4733100000.0
