,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,18282600000.0,19000700000.0,19081500000.0,22880300000.0
Capital Surplus,16133100000.0,16020300000.0,15745900000.0,15421500000.0
Total Liab,65663000000.0,76052800000.0,86190700000.0,82789200000.0
Total Stockholder Equity,183265300000.0,157630000000.0,150122800000.0,142291900000.0
Minority Interest,2590600000.0,2942800000.0,3319700000.0,3524400000.0
Other Current Liab,11335800000.0,9861300000.0,8073100000.0,6937100000.0
Total Assets,251518900000.0,236625600000.0,239633200000.0,228605500000.0
Common Stock,1612900000.0,1612500000.0,1611400000.0,1610200000.0
Other Current Assets,10369500000.0,10016800000.0,12409300000.0,11468000000.0
Retained Earnings,166816200000.0,142605000000.0,133939300000.0,121405100000.0
Other Liab,5741100000.0,6597800000.0,10174900000.0,7845900000.0
Good Will,30072900000.0,29340000000.0,28691400000.0,28147400000.0
Treasury Stock,-1296900000.0,-2607800000.0,-1173800000.0,3855100000.0
Other Assets,10627700000.0,9968000000.0,7735800000.0,8790900000.0
Cash,7932900000.0,7423800000.0,5083600000.0,8534600000.0
Total Current Liabilities,45915500000.0,43931400000.0,37715100000.0,38322200000.0
Deferred Long Term Asset Charges,3146900000.0,2397700000.0,2014100000.0,1876500000.0
Short Long Term Debt,2277800000.0,167500000.0,,700000.0
Other Stockholder Equity,-1296900000.0,-2607800000.0,-1173800000.0,3855100000.0
Property Plant Equipment,56488600000.0,56733500000.0,55072500000.0,58287300000.0
Total Current Assets,131810300000.0,117038400000.0,124266300000.0,108141000000.0
Long Term Investments,4236800000.0,4545000000.0,4785700000.0,2358600000.0
Net Tangible Assets,134909800000.0,109289300000.0,102349900000.0,91264200000.0
Short Term Investments,6703600000.0,2500800000.0,1008100000.0,1020700000.0
Net Receivables,36193400000.0,42260700000.0,43988200000.0,34859300000.0
Long Term Debt,12027500000.0,23692800000.0,38300700000.0,36621100000.0
Inventory,46691800000.0,43776000000.0,39648300000.0,40447000000.0
Accounts Payable,20668200000.0,22818100000.0,19479900000.0,21191200000.0
Deferred Long Term Liab,,,385400000.0,415600000.0
