,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,1074480000.0,887260000.0,924250000.0,954280000.0
Capital Surplus,596400000.0,266180000.0,69260000.0,95180000.0
Total Liab,28722380000.0,29238920000.0,21212440000.0,15035550000.0
Total Stockholder Equity,65267100000.0,58295990000.0,52498180000.0,54817820000.0
Deferred Long Term Liab,466550000.0,463010000.0,,
Other Current Liab,3613900000.0,3105200000.0,2992010000.0,2328020000.0
Total Assets,93989480000.0,87534910000.0,73710620000.0,69853370000.0
Common Stock,1870420000.0,1865360000.0,1862190000.0,1932600000.0
Other Current Assets,1972950000.0,1171040000.0,1560250000.0,1755590000.0
Retained Earnings,54133940000.0,48528460000.0,43733370000.0,47429220000.0
Other Liab,1915010000.0,1722850000.0,1275110000.0,1015850000.0
Good Will,21325670000.0,21404740000.0,19584550000.0,17014720000.0
Treasury Stock,8666340000.0,7635990000.0,6833360000.0,5360820000.0
Other Assets,8652410000.0,9477460000.0,8239100000.0,8359190000.0
Cash,7711440000.0,9880010000.0,3519780000.0,4641760000.0
Total Current Liabilities,21436990000.0,21671670000.0,19937330000.0,14019700000.0
Deferred Long Term Asset Charges,1260720000.0,2157460000.0,813820000.0,1056820000.0
Other Stockholder Equity,8666340000.0,7635990000.0,6833360000.0,5360820000.0
Property Plant Equipment,7826240000.0,8009950000.0,1217710000.0,893810000.0
Total Current Assets,51402650000.0,44130560000.0,41030520000.0,39460210000.0
Long Term Investments,3708030000.0,3624940000.0,2714490000.0,3171160000.0
Net Tangible Assets,42866950000.0,36003990000.0,31989380000.0,36848820000.0
Short Term Investments,5794980000.0,2506580000.0,2928790000.0,2469630000.0
Net Receivables,22286930000.0,20809010000.0,21437350000.0,15104660000.0
Accounts Payable,5963960000.0,6666810000.0,7850430000.0,5023920000.0
