,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,491500000.0,24000000.0,31400000.0,54700000.0
Total Liab,13048400000.0,17940300000.0,17772900000.0,15961800000.0
Total Stockholder Equity,46513700000.0,44020400000.0,42829800000.0,41186000000.0
Other Current Liab,3530700000.0,1945700000.0,1958300000.0,1912000000.0
Total Assets,59562100000.0,61960700000.0,60602700000.0,57147800000.0
Common Stock,554400000.0,554400000.0,554400000.0,554400000.0
Other Current Assets,1723000000.0,2364800000.0,2014400000.0,1900400000.0
Retained Earnings,34414400000.0,43363000000.0,42190200000.0,40565600000.0
Other Liab,1810400000.0,2076300000.0,2431600000.0,1402000000.0
Treasury Stock,11544900000.0,103000000.0,85200000.0,66000000.0
Other Assets,11320100000.0,12443300000.0,9605900000.0,9537000000.0
Cash,9652600000.0,1814700000.0,1954600000.0,1523200000.0
Total Current Liabilities,11086700000.0,15675700000.0,15341300000.0,14559800000.0
Other Stockholder Equity,11544900000.0,103000000.0,85200000.0,66000000.0
Property Plant Equipment,12470700000.0,13109900000.0,14424900000.0,13230300000.0
Total Current Assets,32555900000.0,33824700000.0,34285700000.0,32300900000.0
Long Term Investments,2723900000.0,2558800000.0,2254800000.0,2024900000.0
Net Tangible Assets,46022200000.0,43996400000.0,42798400000.0,41131300000.0
Short Term Investments,4657300000.0,4211700000.0,8070000000.0,3230000000.0
Net Receivables,10880900000.0,11846600000.0,13491000000.0,15158200000.0
Inventory,5642100000.0,5772300000.0,6328500000.0,5443800000.0
Accounts Payable,7310200000.0,6973400000.0,8254100000.0,7595300000.0
