,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Total Liab,539293600000.0,488063690000.0,416483089000.0,365828879000.0
Total Stockholder Equity,384928200000.0,284101889000.0,388697138000.0,391233638000.0
Minority Interest,480700000.0,353819000.0,348278000.0,278954000.0
Deferred Long Term Liab,12304200000.0,17305680000.0,1834700000.0,2769320000.0
Other Current Liab,539293600000.0,46900045000.0,30050387000.0,22846115000.0
Total Assets,924702500000.0,772519398000.0,805528505000.0,757341471000.0
Common Stock,8240000000.0,8240000000.0,8240000000.0,4120000000.0
Other Current Assets,112966600000.0,98004929000.0,78783003000.0,59966045000.0
Treasury Stock,376688200000.0,119755702000.0,235871555000.0,240337186000.0
Other Assets,17992600000.0,360146777000.0,394311467000.0,354061682000.0
Cash,117869300000.0,112668779000.0,97088083000.0,91817124000.0
Total Current Liabilities,539293600000.0,488063690000.0,416483089000.0,365828879000.0
Deferred Long Term Asset Charges,2405900000.0,2250029000.0,2068650000.0,2071125000.0
Other Stockholder Equity,376688200000.0,119755702000.0,235871555000.0,240337186000.0
Property Plant Equipment,5625700000.0,5254260000.0,5180859000.0,4778852000.0
Total Current Assets,230835900000.0,236021359000.0,203518265000.0,189063484000.0
Long Term Investments,670248300000.0,170522509000.0,201646524000.0,208282762000.0
Net Tangible Assets,384928200000.0,283527396000.0,387825748000.0,390078947000.0
Intangible Assets,,418913000.0,715810000.0,996174000.0
Capital Surplus,,18908542000.0,18962417000.0,18962416000.0
Retained Earnings,,137197645000.0,125623166000.0,127814036000.0
Good Will,,155580000.0,155580000.0,158517000.0
Short Term Investments,,12367461000.0,8772192000.0,5877416000.0
Net Receivables,,12980190000.0,18874987000.0,31402899000.0
Accounts Payable,,427320196000.0,368024003000.0,328987194000.0
