,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,5217000000.0,4067000000.0,4511000000.0,3117000000.0
Capital Surplus,4241000000.0,4241000000.0,4241000000.0,4241000000.0
Total Liab,187821000000.0,141955000000.0,168590000000.0,176729000000.0
Total Stockholder Equity,525006000000.0,494130000000.0,470921000000.0,425594000000.0
Other Current Liab,41843000000.0,30885000000.0,33546000000.0,40167000000.0
Total Assets,712827000000.0,636277000000.0,639687000000.0,602484000000.0
Common Stock,1510000000.0,1510000000.0,1510000000.0,1510000000.0
Other Current Assets,11736000000.0,10776000000.0,6421000000.0,15702000000.0
Retained Earnings,498473000000.0,472974000000.0,446601000000.0,400336000000.0
Other Liab,26196000000.0,28249000000.0,26905000000.0,22144000000.0
Treasury Stock,20782000000.0,15405000000.0,18569000000.0,19507000000.0
Other Assets,17110000000.0,17453000000.0,20809000000.0,18789000000.0
Cash,408000000.0,208000000.0,1878000000.0,740000000.0
Total Current Liabilities,161205000000.0,113054000000.0,141605000000.0,154485000000.0
Short Long Term Debt,27000000.0,23000000.0,20000000.0,
Other Stockholder Equity,20782000000.0,15405000000.0,18569000000.0,19507000000.0
Property Plant Equipment,159638000000.0,167529000000.0,165931000000.0,152092000000.0
Total Current Assets,185443000000.0,84406000000.0,123727000000.0,79300000000.0
Long Term Investments,345419000000.0,362822000000.0,324709000000.0,349186000000.0
Net Tangible Assets,519789000000.0,490063000000.0,466410000000.0,422477000000.0
Short Term Investments,114498000000.0,12256000000.0,50617000000.0,12424000000.0
Net Receivables,27095000000.0,28025000000.0,30815000000.0,18254000000.0
Long Term Debt,28000000.0,54000000.0,80000000.0,100000000.0
Inventory,30490000000.0,32139000000.0,33226000000.0,31602000000.0
Accounts Payable,101681000000.0,74988000000.0,96377000000.0,104993000000.0
Minority Interest,,192000000.0,176000000.0,161000000.0
