,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,30139000.0,34834000.0,25207000.0,22954000.0
Capital Surplus,2684571000.0,2685264000.0,2683175000.0,2682042000.0
Total Liab,5050773000.0,4516491000.0,5106270000.0,5403030000.0
Total Stockholder Equity,42443145000.0,37012864000.0,35137081000.0,30093064000.0
Minority Interest,88177000.0,92523000.0,92963000.0,89132000.0
Other Current Liab,667726000.0,845362000.0,807910000.0,1590668000.0
Total Assets,47582095000.0,41621878000.0,40336314000.0,35585226000.0
Common Stock,188641000.0,188641000.0,188641000.0,188641000.0
Other Current Assets,684901000.0,995965000.0,1307427000.0,2076825000.0
Retained Earnings,39775575000.0,34098073000.0,32215178000.0,27107905000.0
Other Liab,547113000.0,784292000.0,970695000.0,820177000.0
Good Will,198948000.0,199657000.0,197672000.0,196364000.0
Treasury Stock,-205642000.0,40886000.0,50087000.0,114476000.0
Other Assets,686342000.0,951504000.0,715332000.0,927025000.0
Cash,4621743000.0,1484919000.0,2083085000.0,1811560000.0
Total Current Liabilities,4445943000.0,3626474000.0,3985575000.0,4580868000.0
Deferred Long Term Asset Charges,2136000.0,6861000.0,9043000.0,
Other Stockholder Equity,-205642000.0,40886000.0,50087000.0,114476000.0
Property Plant Equipment,9494701000.0,8985567000.0,8821710000.0,7459344000.0
Total Current Assets,34591914000.0,31441728000.0,30567829000.0,26970975000.0
Long Term Investments,2580051000.0,8588000.0,8564000.0,8564000.0
Net Tangible Assets,42214058000.0,36778373000.0,34914202000.0,29873746000.0
Short Term Investments,10791082000.0,1061654000.0,328807000.0,82141000.0
Net Receivables,6858314000.0,6914142000.0,7758194000.0,6509398000.0
Inventory,7547762000.0,7781222000.0,7859194000.0,5533897000.0
Accounts Payable,1658084000.0,1364214000.0,1736061000.0,1577269000.0
Short Long Term Debt,,150000000.0,,1575000.0
Long Term Debt,,,150000000.0,1985000.0
