,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,23161000.0,33050000.0,55010000.0,78810000.0
Capital Surplus,412010000.0,412010000.0,412010000.0,412010000.0
Total Liab,8149790000.0,6930620000.0,5755970000.0,5650840000.0
Total Stockholder Equity,8848843000.0,8198790000.0,7749930000.0,8473000000.0
Other Current Liab,4421837000.0,2144680000.0,1834260000.0,1700610000.0
Total Assets,16998633000.0,15129410000.0,13505900000.0,14123840000.0
Common Stock,111539000.0,111540000.0,111540000.0,111540000.0
Other Current Assets,910440000.0,772460000.0,7210000.0,4420000.0
Retained Earnings,8325290000.0,7675240000.0,7226380000.0,7949450000.0
Other Liab,82627000.0,94200000.0,218610000.0,240740000.0
Treasury Stock,8737304000.0,,,
Other Assets,393439000.0,553590000.0,379210000.0,608880000.0
Cash,4349964000.0,1167150000.0,38500000.0,367320000.0
Total Current Liabilities,7123199000.0,5566100000.0,5338670000.0,5083900000.0
Deferred Long Term Asset Charges,22327000.0,,,
Other Stockholder Equity,8737304000.0,,,
Property Plant Equipment,4118287000.0,4309530000.0,3023570000.0,2885850000.0
Total Current Assets,12250751000.0,10145440000.0,10048110000.0,10550300000.0
Long Term Investments,212995000.0,87800000.0,,
Net Tangible Assets,8825682000.0,8165740000.0,7694920000.0,8394190000.0
Short Term Investments,69829000.0,24640000.0,400000000.0,300000000.0
Net Receivables,1371182000.0,747100000.0,1818340000.0,1804040000.0
Inventory,5549336000.0,7390210000.0,7716980000.0,5840810000.0
Accounts Payable,2174945000.0,938280000.0,1220450000.0,1359330000.0
Short Long Term Debt,,112140000.0,122470000.0,189870000.0
Long Term Debt,,200550000.0,198690000.0,326200000.0
