,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,191000000.0,207000000.0,141000000.0,183000000.0
Capital Surplus,1445000000.0,1333000000.0,1273000000.0,1183000000.0
Total Liab,20618000000.0,19871000000.0,17351000000.0,14686000000.0
Total Stockholder Equity,28214000000.0,21758000000.0,19684000000.0,17204000000.0
Other Current Liab,5519000000.0,5690000000.0,4127000000.0,3376000000.0
Total Assets,48832000000.0,41629000000.0,37035000000.0,31890000000.0
Common Stock,4000000000.0,4000000000.0,2000000000.0,2000000000.0
Other Current Assets,1029000000.0,369000000.0,738000000.0,945000000.0
Retained Earnings,21825000000.0,17777000000.0,15961000000.0,12890000000.0
Other Liab,3112000000.0,3667000000.0,2448000000.0,995000000.0
Treasury Stock,944000000.0,-1352000000.0,450000000.0,1131000000.0
Other Assets,3083000000.0,2945000000.0,3289000000.0,2830000000.0
Cash,3233000000.0,1930000000.0,1652000000.0,9674000000.0
Total Current Liabilities,11330000000.0,15392000000.0,11286000000.0,7836000000.0
Deferred Long Term Asset Charges,891000000.0,1227000000.0,915000000.0,724000000.0
Short Long Term Debt,937000000.0,3767000000.0,2600000000.0,1238000000.0
Other Stockholder Equity,976000000.0,-1311000000.0,496000000.0,1200000000.0
Property Plant Equipment,23815000000.0,21971000000.0,15964000000.0,11675000000.0
Total Current Assets,18067000000.0,16126000000.0,17641000000.0,17202000000.0
Long Term Investments,3676000000.0,380000000.0,,
Net Tangible Assets,28023000000.0,21551000000.0,19543000000.0,17021000000.0
Short Term Investments,7426000000.0,8269000000.0,9877000000.0,1577000000.0
Net Receivables,5541000000.0,5100000000.0,4726000000.0,3949000000.0
Long Term Debt,5124000000.0,,3466000000.0,5855000000.0
Inventory,596000000.0,252000000.0,434000000.0,860000000.0
Accounts Payable,2416000000.0,2220000000.0,2235000000.0,2035000000.0
