,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,1319300000.0,953000000.0,738800000.0,295300000.0
Total Liab,1248212500000.0,1177764800000.0,1061585100000.0,1049294800000.0
Total Stockholder Equity,365173600000.0,321569200000.0,264551400000.0,201787400000.0
Minority Interest,4410800000.0,3940800000.0,4078000000.0,3624500000.0
Other Current Liab,250225800000.0,219681100000.0,234796900000.0,235694000000.0
Total Assets,1617796900000.0,1503274800000.0,1330214500000.0,1254706700000.0
Common Stock,61627300000.0,61627300000.0,61627300000.0,62074100000.0
Other Current Assets,163273300000.0,169286500000.0,96963200000.0,83368800000.0
Retained Earnings,285201400000.0,236281200000.0,165913100000.0,103716000000.0
Other Liab,704902800000.0,667148100000.0,585884400000.0,555559800000.0
Treasury Stock,18344900000.0,23660700000.0,37011000000.0,35997300000.0
Other Assets,216746000000.0,194992400000.0,195014600000.0,200247400000.0
Cash,52345400000.0,27911000000.0,23023600000.0,39976700000.0
Total Current Liabilities,516428700000.0,490682900000.0,460978000000.0,483191000000.0
Deferred Long Term Asset Charges,40594300000.0,36180100000.0,42691600000.0,53550500000.0
Short Long Term Debt,75900000.0,77800000.0,72000000.0,67800000.0
Other Stockholder Equity,18344900000.0,23660700000.0,37011000000.0,35997300000.0
Property Plant Equipment,527631200000.0,450165600000.0,422021200000.0,378172600000.0
Total Current Assets,847248600000.0,836875500000.0,696713800000.0,661156300000.0
Long Term Investments,24851800000.0,20288300000.0,15726100000.0,14835100000.0
Net Tangible Assets,363854300000.0,320616200000.0,263812600000.0,201492100000.0
Short Term Investments,150187500000.0,250934000000.0,296496500000.0,268221100000.0
Net Receivables,391967700000.0,322564200000.0,224391200000.0,205151200000.0
Long Term Debt,26881000000.0,19933800000.0,14722700000.0,10544000000.0
Inventory,89474700000.0,66179800000.0,55839300000.0,64438500000.0
Accounts Payable,76376300000.0,72509600000.0,8915800000.0,8025000000.0
