,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,55330300000.0,19403800000.0,20725600000.0,15588200000.0
Capital Surplus,5995600000.0,5995600000.0,25517200000.0,25517200000.0
Total Liab,432270500000.0,363605900000.0,317793200000.0,261567300000.0
Total Stockholder Equity,304617300000.0,254569600000.0,243723200000.0,209029500000.0
Minority Interest,14684700000.0,2195900000.0,2099400000.0,1495600000.0
Other Current Liab,33591900000.0,25275600000.0,16478400000.0,14750000000.0
Total Assets,753237800000.0,622036700000.0,565274600000.0,473751200000.0
Common Stock,4063500000.0,4063500000.0,4141900000.0,4141900000.0
Other Current Assets,13207400000.0,9400000000.0,6895900000.0,28882000000.0
Retained Earnings,286575300000.0,237583200000.0,207952700000.0,171623700000.0
Other Liab,25032400000.0,19155100000.0,14923500000.0,15119500000.0
Good Will,40364300000.0,32862500000.0,32679300000.0,26671300000.0
Treasury Stock,7982900000.0,6927300000.0,6111400000.0,7746700000.0
Other Assets,94722800000.0,102799100000.0,90229300000.0,52731000000.0
Cash,41980400000.0,71954600000.0,47981900000.0,8234800000.0
Total Current Liabilities,72159500000.0,76964700000.0,103516900000.0,40089600000.0
Deferred Long Term Asset Charges,8817300000.0,12096200000.0,10283800000.0,13105400000.0
Short Long Term Debt,10654500000.0,17372900000.0,11164700000.0,8020200000.0
Other Stockholder Equity,7982900000.0,6927300000.0,6111400000.0,7746700000.0
Property Plant Equipment,422645900000.0,307042100000.0,272644100000.0,229895200000.0
Total Current Assets,128306400000.0,148199100000.0,146311400000.0,142869000000.0
Long Term Investments,11868100000.0,11730100000.0,2684900000.0,5996500000.0
Net Tangible Assets,208922700000.0,202303300000.0,190318300000.0,166770000000.0
Short Term Investments,14004200000.0,184200000.0,15548800000.0,26362000000.0
Net Receivables,46069200000.0,63112100000.0,67096700000.0,73833500000.0
Long Term Debt,329355300000.0,261813300000.0,198833200000.0,206289700000.0
Inventory,9918500000.0,2882800000.0,8066800000.0,5202900000.0
Accounts Payable,10138500000.0,7287400000.0,5720700000.0,4897300000.0
