,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,84600000.0,94800000.0,89300000.0,96400000.0
Capital Surplus,47700000.0,62800000.0,62700000.0,62700000.0
Total Liab,36260300000.0,38393600000.0,33772400000.0,33727000000.0
Total Stockholder Equity,49933500000.0,42802100000.0,41099900000.0,39052100000.0
Minority Interest,361000000.0,364900000.0,347500000.0,317400000.0
Other Current Liab,6303900000.0,6918200000.0,5062800000.0,8212500000.0
Total Assets,86554800000.0,81560600000.0,75219800000.0,73096500000.0
Common Stock,330800000.0,330800000.0,330800000.0,330800000.0
Other Current Assets,2343800000.0,4017700000.0,3164700000.0,3174100000.0
Retained Earnings,42787300000.0,38819700000.0,35100000000.0,32788800000.0
Other Liab,1162800000.0,1201400000.0,919500000.0,1015300000.0
Good Will,723100000.0,723100000.0,723100000.0,723100000.0
Treasury Stock,6767700000.0,3588800000.0,5606400000.0,5869800000.0
Other Assets,2481000000.0,3220700000.0,3525700000.0,1680900000.0
Cash,4481500000.0,2695600000.0,3109900000.0,2579300000.0
Total Current Liabilities,35040900000.0,37138100000.0,32852900000.0,32711700000.0
Deferred Long Term Asset Charges,557700000.0,728700000.0,1058900000.0,178400000.0
Short Long Term Debt,1136900000.0,428400000.0,450800000.0,295700000.0
Other Stockholder Equity,6767700000.0,3588800000.0,5606400000.0,5869800000.0
Property Plant Equipment,2604700000.0,2795400000.0,2311900000.0,1745700000.0
Total Current Assets,51894100000.0,55784300000.0,56471700000.0,45975400000.0
Long Term Investments,28767300000.0,18942300000.0,12098100000.0,22875000000.0
Net Tangible Assets,49125800000.0,41984200000.0,40287500000.0,38232600000.0
Short Term Investments,1366500000.0,1393000000.0,1564500000.0,746200000.0
Net Receivables,28772900000.0,27468700000.0,26127800000.0,26469500000.0
Inventory,12796000000.0,14689400000.0,10906600000.0,8129900000.0
Accounts Payable,24645300000.0,26888900000.0,23744900000.0,21764100000.0
