,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,489694731000.0,335899406000.0,330333217000.0,326802474000.0
Total Liab,14066364048000.0,12475374055000.0,11179599481000.0,10076431571000.0
Total Stockholder Equity,1575875005000.0,1229600572000.0,1142534068000.0,1106296971000.0
Minority Interest,95883393000.0,67947696000.0,65805358000.0,60081860000.0
Other Current Liab,131743453000.0,64581807000.0,87037693000.0,74429018000.0
Total Assets,15738122446000.0,13772922323000.0,12387938907000.0,11242810402000.0
Common Stock,13831985000.0,12945530000.0,12892479000.0,12855981000.0
Other Current Assets,580503953000.0,470455188000.0,508687221000.0,424583682000.0
Retained Earnings,889385904000.0,695461841000.0,618555220000.0,588731842000.0
Other Liab,2502319635000.0,1882898319000.0,1802550230000.0,1534798390000.0
Good Will,1076700000.0,1097000000.0,1097000000.0,1117500000.0
Treasury Stock,182962385000.0,185293795000.0,180753152000.0,177906674000.0
Other Assets,9984054236000.0,8708298921000.0,8316600890000.0,7312280650000.0
Cash,1084100242000.0,1025108107000.0,582359986000.0,639384135000.0
Total Current Liabilities,10166483413000.0,8486062913000.0,7292903383000.0,6260516384000.0
Deferred Long Term Asset Charges,93350216000.0,88070295000.0,109372947000.0,78182968000.0
Other Stockholder Equity,182962385000.0,185293795000.0,180753152000.0,177906674000.0
Property Plant Equipment,108092581000.0,104086576000.0,96604227000.0,94650053000.0
Total Current Assets,1664604195000.0,1495563295000.0,1101087373000.0,1087705111000.0
Long Term Investments,3980294734000.0,3463876531000.0,2872549417000.0,2747057088000.0
Net Tangible Assets,1574798305000.0,1228503572000.0,1141437068000.0,1105179471000.0
Long Term Debt,1396811500000.0,2106145623000.0,2084145868000.0,2281116797000.0
Accounts Payable,9967578187000.0,8358338032000.0,7150122236000.0,6137289356000.0
Inventory,,,10040166000.0,19748594000.0
Net Receivables,,,,3988700000.0
