,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,283000000.0,251000000.0,100000000.0,38000000.0
Capital Surplus,359000000.0,305000000.0,277000000.0,247000000.0
Total Liab,4323000000.0,3559000000.0,2852000000.0,2295000000.0
Total Stockholder Equity,10442000000.0,8646000000.0,9391000000.0,9960000000.0
Minority Interest,60000000.0,55000000.0,9000000.0,10000000.0
Deferred Long Term Liab,20000000.0,13000000.0,40000000.0,40000000.0
Other Current Liab,1362000000.0,1138000000.0,1368000000.0,1078000000.0
Total Assets,14825000000.0,12260000000.0,12252000000.0,12255000000.0
Common Stock,332000000.0,332000000.0,339000000.0,190000000.0
Other Current Assets,607000000.0,472000000.0,553000000.0,736000000.0
Retained Earnings,12995000000.0,11608000000.0,11632000000.0,11831000000.0
Other Liab,432000000.0,272000000.0,159000000.0,131000000.0
Good Will,832000000.0,699000000.0,512000000.0,339000000.0
Treasury Stock,-3244000000.0,-3599000000.0,-2857000000.0,-2308000000.0
Other Assets,1203000000.0,1135000000.0,1395000000.0,1459000000.0
Cash,3380000000.0,2465000000.0,2829000000.0,3041000000.0
Total Current Liabilities,3264000000.0,2757000000.0,2693000000.0,2164000000.0
Deferred Long Term Asset Charges,150000000.0,231000000.0,199000000.0,196000000.0
Other Stockholder Equity,-3244000000.0,-3599000000.0,-2857000000.0,-2308000000.0
Property Plant Equipment,2567000000.0,2414000000.0,1931000000.0,1863000000.0
Total Current Assets,8307000000.0,7212000000.0,7644000000.0,7673000000.0
Long Term Investments,1633000000.0,549000000.0,670000000.0,883000000.0
Net Tangible Assets,9327000000.0,7696000000.0,8779000000.0,9583000000.0
Short Term Investments,161000000.0,306000000.0,732000000.0,10000000.0
Net Receivables,3776000000.0,3479000000.0,3148000000.0,2824000000.0
Inventory,19000000.0,19000000.0,16000000.0,18000000.0
Accounts Payable,362000000.0,377000000.0,239000000.0,107000000.0
