,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,49500000.0,36000000.0,40500000.0,65500000.0
Capital Surplus,798800000.0,798800000.0,798800000.0,798800000.0
Total Liab,14794600000.0,12257800000.0,10811000000.0,8610500000.0
Total Stockholder Equity,92946100000.0,73099200000.0,69571500000.0,59248000000.0
Other Current Liab,995500000.0,1128200000.0,743200000.0,645600000.0
Total Assets,107740700000.0,85357000000.0,80382500000.0,67858500000.0
Common Stock,530900000.0,530900000.0,530900000.0,530900000.0
Other Current Assets,1437200000.0,1744500000.0,1606900000.0,1305100000.0
Retained Earnings,91480100000.0,71635600000.0,68163500000.0,57826000000.0
Other Liab,3633100000.0,2944800000.0,2343500000.0,2076300000.0
Treasury Stock,136300000.0,133900000.0,78300000.0,92300000.0
Other Assets,1834100000.0,1543200000.0,2612600000.0,1347700000.0
Cash,20303200000.0,431500000.0,130000000.0,251500000.0
Total Current Liabilities,11124600000.0,9268300000.0,8467500000.0,6534200000.0
Deferred Long Term Asset Charges,32300000.0,43800000.0,23400000.0,10300000.0
Other Stockholder Equity,136300000.0,133900000.0,78300000.0,92300000.0
Property Plant Equipment,44095400000.0,36979400000.0,25756300000.0,21094000000.0
Total Current Assets,61747100000.0,46798300000.0,46500500000.0,45351200000.0
Long Term Investments,14600000.0,100000.0,5472600000.0,100000.0
Net Tangible Assets,92896600000.0,73063200000.0,69531000000.0,59182500000.0
Short Term Investments,546400000.0,110100000.0,,
Net Receivables,17783000000.0,15990400000.0,12964900000.0,11332900000.0
Inventory,21452300000.0,18638600000.0,17723400000.0,13506700000.0
Accounts Payable,7632000000.0,5907200000.0,4922600000.0,4112100000.0
