,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,1099263000000.0,1195558000000.0,1302210000000.0,581649000000.0
Total Liab,2417086000000.0,2209397000000.0,1700647000000.0,713147000000.0
Total Stockholder Equity,-382280000000.0,59799000000.0,596348000000.0,272625000000.0
Other Current Liab,531268000000.0,542403000000.0,136027000000.0,60410000000.0
Total Assets,2034806000000.0,2269196000000.0,2296995000000.0,985772000000.0
Common Stock,287354000000.0,287354000000.0,87356000000.0,43593000000.0
Other Current Assets,91628000000.0,28534000000.0,4596000000.0,11515000000.0
Other Liab,1688215000000.0,124525000000.0,114234000000.0,35430000000.0
Treasury Stock,-669634000000.0,-294053000000.0,-293868000000.0,5210000000.0
Other Assets,135484000000.0,218005000000.0,269526000000.0,34053000000.0
Cash,22165000000.0,3708000000.0,8428000000.0,193000000.0
Total Current Liabilities,664025000000.0,957790000000.0,542384000000.0,108309000000.0
Deferred Long Term Asset Charges,23000000.0,20000000.0,103385000000.0,12052000000.0
Other Stockholder Equity,-669634000000.0,-294053000000.0,-293868000000.0,5210000000.0
Property Plant Equipment,581700000000.0,673528000000.0,526113000000.0,251062000000.0
Total Current Assets,140995000000.0,166861000000.0,183812000000.0,102346000000.0
Long Term Investments,77364000000.0,15244000000.0,15298000000.0,16601000000.0
Net Tangible Assets,-1481543000000.0,-1135759000000.0,-705898000000.0,-309085000000.0
Short Term Investments,2117000000.0,21052000000.0,67088000000.0,56304000000.0
Net Receivables,25079000000.0,110761000000.0,100840000000.0,32920000000.0
Long Term Debt,64846000000.0,962804000000.0,1044029000000.0,569408000000.0
Inventory,6000000.0,25000000.0,42000000.0,367000000.0
Accounts Payable,132757000000.0,117634000000.0,126486000000.0,35479000000.0
Capital Surplus,,1084698000000.0,1035532000000.0,193354000000.0
Retained Earnings,,-1018200000000.0,-232672000000.0,30468000000.0
Short Long Term Debt,,186829000000.0,174163000000.0,10226000000.0
Good Will,,,36000000.0,61000000.0
