,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,6953200000.0,3418700000.0,2025700000.0,979400000.0
Total Liab,177781800000.0,156769700000.0,132805500000.0,103320200000.0
Total Stockholder Equity,38266100000.0,32821000000.0,31701700000.0,26772000000.0
Minority Interest,3879000000.0,3209400000.0,2457700000.0,1810800000.0
Other Current Liab,5729800000.0,3239900000.0,2694100000.0,2555200000.0
Total Assets,219926900000.0,192800100000.0,166964900000.0,131903000000.0
Common Stock,475100000.0,475100000.0,475100000.0,475100000.0
Other Current Assets,5918900000.0,1896200000.0,1069800000.0,752500000.0
Other Liab,4044500000.0,2191800000.0,1866000000.0,1412400000.0
Good Will,1883100000.0,1883100000.0,1883100000.0,1883100000.0
Treasury Stock,37791000000.0,-90300000.0,622700000.0,610300000.0
Other Assets,58488000000.0,45101700000.0,39762100000.0,31949200000.0
Cash,16568500000.0,10796900000.0,1630400000.0,1021000000.0
Total Current Liabilities,109087100000.0,100422800000.0,81847900000.0,78298500000.0
Deferred Long Term Asset Charges,1276200000.0,,,
Short Long Term Debt,29042200000.0,23476200000.0,11350800000.0,13741500000.0
Other Stockholder Equity,37791000000.0,-90300000.0,622700000.0,610300000.0
Property Plant Equipment,42404900000.0,41488200000.0,35827300000.0,29824600000.0
Total Current Assets,105368400000.0,97468400000.0,83316700000.0,63247400000.0
Long Term Investments,4829300000.0,3440000000.0,4150000000.0,4019300000.0
Net Tangible Assets,29429800000.0,27519200000.0,27792900000.0,23909500000.0
Short Term Investments,856400000.0,,385300000.0,664200000.0
Net Receivables,68350300000.0,72530400000.0,67015500000.0,49989200000.0
Long Term Debt,62802600000.0,52212300000.0,49091600000.0,23609300000.0
Inventory,13674300000.0,11884700000.0,12915700000.0,10561500000.0
Accounts Payable,42986000000.0,31868400000.0,31596800000.0,26508400000.0
Retained Earnings,,32436200000.0,30603900000.0,25686600000.0
