,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,175500000.0,252730000.0,285210000.0,171650000.0
Capital Surplus,6930890000.0,6930890000.0,6930890000.0,6930890000.0
Total Liab,77310240000.0,63111080000.0,62363420000.0,53352900000.0
Total Stockholder Equity,54151190000.0,52197400000.0,53760560000.0,46517110000.0
Minority Interest,316950000.0,319890000.0,298360000.0,294200000.0
Other Current Liab,2502380000.0,2724210000.0,2509860000.0,1578640000.0
Total Assets,131778380000.0,115628370000.0,116422340000.0,100164210000.0
Common Stock,931270000.0,931180000.0,931180000.0,931180000.0
Other Current Assets,3643620000.0,2674750000.0,4142990000.0,4337410000.0
Retained Earnings,42994720000.0,44130770000.0,44203840000.0,36806720000.0
Other Liab,7711610000.0,3748780000.0,4490110000.0,4551810000.0
Good Will,323330000.0,369710000.0,348870000.0,429140000.0
Treasury Stock,53219920000.0,204560000.0,1694650000.0,1848320000.0
Other Assets,6692920000.0,5954650000.0,6649810000.0,4752270000.0
Cash,4728620000.0,3126200000.0,2862170000.0,2346030000.0
Total Current Liabilities,45177260000.0,39673940000.0,41088150000.0,37538780000.0
Deferred Long Term Asset Charges,900660000.0,804190000.0,639580000.0,396550000.0
Short Long Term Debt,4157420000.0,4697230000.0,2495280000.0,5403120000.0
Other Stockholder Equity,53219920000.0,204560000.0,1694650000.0,1848320000.0
Property Plant Equipment,55999070000.0,50821400000.0,43915830000.0,37831120000.0
Total Current Assets,62144360000.0,52710500000.0,55389010000.0,45808660000.0
Long Term Investments,6443200000.0,5519380000.0,9833610000.0,11171370000.0
Net Tangible Assets,53652360000.0,51574960000.0,53126480000.0,45916320000.0
Short Term Investments,21708610000.0,2406620000.0,1854610000.0,658570000.0
Net Receivables,14124130000.0,16495100000.0,22679560000.0,21027780000.0
Long Term Debt,22174530000.0,18747340000.0,16681240000.0,11134790000.0
Inventory,17939380000.0,17347000000.0,18446660000.0,13598890000.0
Accounts Payable,12068360000.0,10309310000.0,13664370000.0,13267850000.0
