,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,735000000.0,740700000.0,716300000.0,573500000.0
Capital Surplus,9198100000.0,9166300000.0,9127600000.0,9437000000.0
Total Liab,156347400000.0,110986200000.0,117126700000.0,123033600000.0
Total Stockholder Equity,75532400000.0,57883300000.0,43464400000.0,33344200000.0
Minority Interest,58170400000.0,35623400000.0,22121400000.0,13572200000.0
Other Current Liab,16679800000.0,12273900000.0,22859900000.0,33638400000.0
Total Assets,290050200000.0,204492900000.0,182712500000.0,169950000000.0
Common Stock,336600000.0,336500000.0,336400000.0,336300000.0
Other Current Assets,5357500000.0,4305300000.0,5289800000.0,3815600000.0
Retained Earnings,28305600000.0,23579300000.0,18563800000.0,13558900000.0
Other Liab,4013200000.0,3001800000.0,3276500000.0,2832600000.0
Good Will,6833400000.0,6833400000.0,5935800000.0,5003100000.0
Treasury Stock,37692100000.0,24801200000.0,15436600000.0,10012000000.0
Other Assets,12719400000.0,11522200000.0,12545200000.0,12608300000.0
Cash,3954700000.0,6158800000.0,7512800000.0,2842600000.0
Total Current Liabilities,120448300000.0,101573900000.0,101888200000.0,110678100000.0
Deferred Long Term Asset Charges,4013800000.0,4991600000.0,6497300000.0,7727700000.0
Short Long Term Debt,1463100000.0,5743600000.0,2935300000.0,6540700000.0
Other Stockholder Equity,37692100000.0,24801200000.0,15436600000.0,10012000000.0
Property Plant Equipment,36939400000.0,34334500000.0,31993300000.0,28748500000.0
Total Current Assets,176171700000.0,105732900000.0,87298600000.0,87194100000.0
Long Term Investments,56651300000.0,45329200000.0,44223300000.0,35822500000.0
Net Tangible Assets,67964000000.0,50309200000.0,36812300000.0,27767600000.0
Short Term Investments,3855100000.0,3131400000.0,2129100000.0,2318900000.0
Net Receivables,49831300000.0,38846900000.0,26994900000.0,24247400000.0
Long Term Debt,31106000000.0,6126300000.0,11962000000.0,9522900000.0
Inventory,62489700000.0,32453000000.0,34631600000.0,48190000000.0
Accounts Payable,33207400000.0,21804000000.0,18782400000.0,16284300000.0
