,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,26820000000.0,27880000000.0,28860000000.0,30110000000.0
Total Liab,91470000000.0,100250000000.0,98880000000.0,110290000000.0
Total Stockholder Equity,126260000000.0,105610000000.0,106390000000.0,103350000000.0
Minority Interest,370000000.0,250000000.0,110000000.0,-300000000.0
Other Current Liab,30360000000.0,9870000000.0,8670000000.0,7520000000.0
Total Assets,218100000000.0,206110000000.0,205380000000.0,213340000000.0
Common Stock,370000000.0,390000000.0,390000000.0,
Other Current Assets,5570000000.0,4710000000.0,3900000000.0,2800000000.0
Other Liab,20000000000.0,16370000000.0,16910000000.0,16040000000.0
Good Will,10110000000.0,12180000000.0,16200000000.0,19010000000.0
Treasury Stock,125890000000.0,6430000000.0,10540000000.0,77130000000.0
Other Assets,3650000000.0,5280000000.0,9320000000.0,8360000000.0
Cash,3110000000.0,2660000000.0,2800000000.0,3150000000.0
Total Current Liabilities,49560000000.0,48220000000.0,41820000000.0,39660000000.0
Other Stockholder Equity,125890000000.0,6430000000.0,10540000000.0,77130000000.0
Property Plant Equipment,110570000000.0,102890000000.0,95870000000.0,92980000000.0
Total Current Assets,64830000000.0,56690000000.0,54040000000.0,61900000000.0
Long Term Investments,2120000000.0,1190000000.0,1090000000.0,980000000.0
Net Tangible Assets,89330000000.0,65550000000.0,61330000000.0,54230000000.0
Short Term Investments,39110000000.0,1240000000.0,3020000000.0,5240000000.0
Net Receivables,7800000000.0,11120000000.0,12120000000.0,13590000000.0
Long Term Debt,20890000000.0,35070000000.0,40130000000.0,54560000000.0
Inventory,9240000000.0,9740000000.0,10320000000.0,7790000000.0
Accounts Payable,10510000000.0,8290000000.0,8770000000.0,9280000000.0
Capital Surplus,,77050000000.0,76990000000.0,10750000000.0
Retained Earnings,,21740000000.0,18470000000.0,15470000000.0
Short Long Term Debt,,11990000000.0,9550000000.0,9440000000.0
