,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,16754430000.0,16108500000.0,15663910000.0,14021000000.0
Total Liab,14347820000.0,14517640000.0,11949030000.0,12257680000.0
Total Stockholder Equity,68487740000.0,65695800000.0,49365390000.0,47073930000.0
Deferred Long Term Liab,82320000.0,63570000.0,58350000.0,
Other Current Liab,3947970000.0,4974310000.0,5934030000.0,6173150000.0
Total Assets,82835560000.0,80213440000.0,61314420000.0,59331610000.0
Common Stock,430310000.0,429400000.0,428760000.0,426730000.0
Other Current Assets,1242840000.0,1255010000.0,1073440000.0,840510000.0
Retained Earnings,47225820000.0,45051390000.0,30473460000.0,29864220000.0
Other Liab,5409480000.0,4376150000.0,1334850000.0,1301960000.0
Good Will,6086630000.0,6086630000.0,6086630000.0,6086630000.0
Treasury Stock,4077180000.0,4106510000.0,2799260000.0,2761980000.0
Other Assets,11527830000.0,10889960000.0,9567270000.0,8497380000.0
Cash,16948280000.0,13315940000.0,11562690000.0,8060990000.0
Total Current Liabilities,8514520000.0,9459990000.0,10614180000.0,10955720000.0
Deferred Long Term Asset Charges,1309880000.0,1013680000.0,617030000.0,1227650000.0
Other Stockholder Equity,4077180000.0,4106510000.0,2799260000.0,2761980000.0
Property Plant Equipment,2653420000.0,3481740000.0,2454620000.0,2205930000.0
Total Current Assets,62567680000.0,59755110000.0,43205900000.0,42541670000.0
Net Tangible Assets,62401110000.0,59609170000.0,43278760000.0,40987300000.0
Short Term Investments,31153540000.0,30627630000.0,15764960000.0,17713530000.0
Net Receivables,13047090000.0,14304020000.0,14458050000.0,15605540000.0
Accounts Payable,458040000.0,354920000.0,567650000.0,646430000.0
