,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,183592370000.0,124260931000.0,95729189000.0,94711541000.0
Total Liab,3194026495000.0,2724805730000.0,2511334548000.0,1977845177000.0
Total Stockholder Equity,435006509000.0,347480317000.0,266872452000.0,238432593000.0
Other Current Liab,6617855000.0,4768993000.0,5736627000.0,6676572000.0
Total Assets,3629033004000.0,3072286047000.0,2778207000000.0,2216277770000.0
Common Stock,7733723000.0,6935357000.0,6026869000.0,6002232000.0
Other Current Assets,194098443000.0,164912789000.0,119862607000.0,120899871000.0
Retained Earnings,234171505000.0,201306497000.0,158742283000.0,131387298000.0
Other Liab,100971362000.0,79465291000.0,71863963000.0,64004069000.0
Treasury Stock,9508911000.0,14977532000.0,6374111000.0,6331522000.0
Other Assets,2335395842000.0,2258739798000.0,1998060302000.0,1547002045000.0
Cash,400875021000.0,37798838000.0,57866982000.0,33226744000.0
Total Current Liabilities,2806545515000.0,2395074245000.0,2215459561000.0,1693893926000.0
Deferred Long Term Asset Charges,20107100000.0,12405000000.0,10323200000.0,6473200000.0
Short Long Term Debt,226718500000.0,357269300000.0,249200200000.0,162943600000.0
Other Stockholder Equity,9508911000.0,14977532000.0,6374111000.0,6331522000.0
Property Plant Equipment,18757448000.0,18708756000.0,17100116000.0,13387531000.0
Total Current Assets,599114471000.0,206365084000.0,181418344000.0,157848655000.0
Long Term Investments,675765243000.0,588472409000.0,581628238000.0,498039539000.0
Net Tangible Assets,435006509000.0,347480317000.0,266872452000.0,238432593000.0
Long Term Debt,286509618000.0,250266194000.0,224011024000.0,219947182000.0
Inventory,4141007000.0,3653457000.0,3688755000.0,3722040000.0
Accounts Payable,2558701042000.0,2020269906000.0,1948679069000.0,1516391743000.0
