,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Capital Surplus,69233250000.0,69233250000.0,60016652000.0,40290762000.0
Total Liab,2570655400000.0,2445718556000.0,2336484796000.0,2346940473000.0
Total Stockholder Equity,169448100000.0,161549750000.0,163598781000.0,132739829000.0
Other Current Liab,6592600000.0,5473019000.0,5479392000.0,6028738000.0
Total Assets,2740103500000.0,2607268306000.0,2500083577000.0,2479680302000.0
Common Stock,164369900000.0,164369883000.0,91416482000.0,48907699000.0
Other Current Assets,181449999000.0,82180699000.0,146338210000.0,145025494000.0
Retained Earnings,-122119757000.0,-125838736000.0,-40150517000.0,-2336436000.0
Other Liab,131056700000.0,155968115000.0,43472758000.0,79919950000.0
Treasury Stock,5078200000.0,53785353000.0,52316164000.0,45877804000.0
Other Assets,1448210100000.0,1474021968000.0,1432678451000.0,1453014715000.0
Cash,307763400000.0,223531261000.0,216274984000.0,164146239000.0
Total Current Liabilities,2402882900000.0,2250342733000.0,2247825759000.0,2218350512000.0
Short Long Term Debt,2553500000.0,14789600000.0,16274100000.0,43610800000.0
Other Stockholder Equity,5078200000.0,53785353000.0,52316164000.0,45877804000.0
Property Plant Equipment,29187800000.0,31273428000.0,33369047000.0,28934338000.0
Total Current Assets,307763400000.0,307812111000.0,364713345000.0,311271884000.0
Long Term Investments,954942200000.0,794160799000.0,669322734000.0,686459365000.0
Net Tangible Assets,169448100000.0,161549750000.0,163598781000.0,132739829000.0
Long Term Debt,36715800000.0,39407708000.0,45186279000.0,48670011000.0
Inventory,2100151000.0,2100151000.0,2100151000.0,2100151000.0
Accounts Payable,2402882900000.0,2229518800000.0,2225340772000.0,2168318111000.0
