,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,13085000000.0,16362000000.0,13762000000.0,18113000000.0
Capital Surplus,714000000.0,1275000000.0,533000000.0,800000000.0
Total Liab,276841000000.0,257729000000.0,262418000000.0,275294000000.0
Total Stockholder Equity,553095000000.0,557458000000.0,568116000000.0,482936000000.0
Minority Interest,1498000000.0,1875000000.0,2637000000.0,2410000000.0
Deferred Long Term Liab,3750000000.0,4335000000.0,4212000000.0,
Other Current Liab,43960000000.0,41227000000.0,39452000000.0,52387000000.0
Total Assets,831434000000.0,817062000000.0,833171000000.0,760640000000.0
Common Stock,10958000000.0,11427000000.0,12068000000.0,9048000000.0
Other Current Assets,18525000000.0,17267000000.0,16784000000.0,52897000000.0
Retained Earnings,508968000000.0,520554000000.0,534700000000.0,453265000000.0
Other Liab,25830000000.0,23858000000.0,19700000000.0,16519000000.0
Good Will,139127000000.0,131012000000.0,116980000000.0,117584000000.0
Treasury Stock,32455000000.0,24202000000.0,20815000000.0,19823000000.0
Other Assets,42060000000.0,40487000000.0,51771000000.0,45470000000.0
Cash,169793000000.0,144499000000.0,158529000000.0,44925000000.0
Total Current Liabilities,230040000000.0,216393000000.0,214350000000.0,213507000000.0
Deferred Long Term Asset Charges,1664000000.0,6005000000.0,5604000000.0,6908000000.0
Short Long Term Debt,15511000000.0,19182000000.0,1508000000.0,11142000000.0
Other Stockholder Equity,32455000000.0,24202000000.0,20815000000.0,19823000000.0
Property Plant Equipment,101612000000.0,97868000000.0,70601000000.0,64443000000.0
Total Current Assets,523186000000.0,519851000000.0,571906000000.0,506156000000.0
Long Term Investments,12364000000.0,11482000000.0,8151000000.0,8874000000.0
Net Tangible Assets,400883000000.0,410084000000.0,437374000000.0,347239000000.0
Short Term Investments,152209000000.0,175099000000.0,215676000000.0,251767000000.0
Net Receivables,145972000000.0,156450000000.0,150858000000.0,153197000000.0
Long Term Debt,7458000000.0,4840000000.0,27872000000.0,43546000000.0
Inventory,1064000000.0,1865000000.0,3951000000.0,3370000000.0
Accounts Payable,23232000000.0,27053000000.0,28527000000.0,68129000000.0
