,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,56606600000.0,63594500000.0,63537100000.0,51176000000.0
Total Liab,181869000000.0,191277700000.0,199712100000.0,223180800000.0
Total Stockholder Equity,464627800000.0,452644500000.0,414090600000.0,383141100000.0
Minority Interest,30170500000.0,38602400000.0,33135400000.0,38841600000.0
Other Current Liab,97270700000.0,48131800000.0,37338600000.0,61757100000.0
Total Assets,676667300000.0,682524600000.0,646938100000.0,645163500000.0
Common Stock,2399300000.0,2399300000.0,2399300000.0,2399300000.0
Other Current Assets,18761500000.0,18720900000.0,16623600000.0,20813900000.0
Other Liab,11431400000.0,13924200000.0,11089800000.0,6816700000.0
Good Will,62876400000.0,64814600000.0,59557700000.0,56067100000.0
Treasury Stock,462228500000.0,49319100000.0,30628000000.0,13454100000.0
Other Assets,75266700000.0,72853000000.0,64251200000.0,84794500000.0
Cash,64455100000.0,56766100000.0,70623000000.0,79253700000.0
Total Current Liabilities,161456300000.0,157064300000.0,173396200000.0,198643200000.0
Deferred Long Term Asset Charges,35564400000.0,31752900000.0,25548700000.0,24073300000.0
Other Stockholder Equity,462228500000.0,49319100000.0,30628000000.0,13454100000.0
Property Plant Equipment,111715100000.0,112263400000.0,109382100000.0,105935000000.0
Total Current Assets,304420800000.0,316541600000.0,310691900000.0,316359000000.0
Long Term Investments,65781700000.0,52457500000.0,39518100000.0,30831900000.0
Net Tangible Assets,345144800000.0,324235400000.0,290995800000.0,275898000000.0
Short Term Investments,40059900000.0,30740100000.0,27214200000.0,48496400000.0
Net Receivables,91174100000.0,105105800000.0,100629900000.0,84163500000.0
Long Term Debt,8981300000.0,17776100000.0,14228700000.0,16687500000.0
Inventory,89970200000.0,78749900000.0,78859800000.0,68806900000.0
Accounts Payable,39736600000.0,40937300000.0,41478700000.0,47662000000.0
Capital Surplus,,11874100000.0,11932900000.0,11929100000.0
Retained Earnings,,389052000000.0,369130400000.0,355358600000.0
Short Long Term Debt,,6438600000.0,5860900000.0,6106300000.0
