,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,1464000000.0,1897000000.0,1548000000.0,1863000000.0
Capital Surplus,39000000.0,614000000.0,614000000.0,443000000.0
Total Liab,10473000000.0,10433000000.0,7936000000.0,8736000000.0
Total Stockholder Equity,24661000000.0,23965000000.0,20723000000.0,17740000000.0
Deferred Long Term Liab,64000000.0,22000000.0,4000000.0,26000000.0
Other Current Liab,1459000000.0,2316000000.0,2445000000.0,2267000000.0
Total Assets,35134000000.0,34398000000.0,28734000000.0,26698000000.0
Common Stock,606000000.0,625000000.0,618000000.0,615000000.0
Other Current Assets,1064000000.0,1017000000.0,2117000000.0,1211000000.0
Retained Earnings,22432000000.0,21721000000.0,18927000000.0,16330000000.0
Other Liab,1497000000.0,1785000000.0,1670000000.0,2710000000.0
Good Will,4226000000.0,4091000000.0,2448000000.0,2430000000.0
Treasury Stock,1584000000.0,1005000000.0,564000000.0,352000000.0
Other Assets,3631000000.0,2054000000.0,1397000000.0,1719000000.0
Cash,7999000000.0,8195000000.0,5079000000.0,4102000000.0
Total Current Liabilities,8425000000.0,7942000000.0,6166000000.0,5847000000.0
Deferred Long Term Asset Charges,1548000000.0,1302000000.0,1032000000.0,1231000000.0
Short Long Term Debt,7000000.0,302000000.0,34000000.0,44000000.0
Other Stockholder Equity,1584000000.0,1005000000.0,564000000.0,352000000.0
Property Plant Equipment,4518000000.0,4808000000.0,4205000000.0,4507000000.0
Total Current Assets,21295000000.0,21510000000.0,19136000000.0,16179000000.0
Net Tangible Assets,18971000000.0,17977000000.0,16727000000.0,13447000000.0
Short Term Investments,230000000.0,960000000.0,4131000000.0,3718000000.0
Net Receivables,11333000000.0,10852000000.0,7126000000.0,6567000000.0
Long Term Debt,3000000.0,45000000.0,99000000.0,178000000.0
Accounts Payable,3398000000.0,2634000000.0,1647000000.0,1453000000.0
Long Term Investments,,38000000.0,,
Minority Interest,,,75000000.0,222000000.0
Inventory,,,,3000000.0
