,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,100040700000.0,81888300000.0,67051500000.0,56666300000.0
Capital Surplus,53513200000.0,2497900000.0,2497900000.0,2497900000.0
Total Liab,1074369500000.0,1122749000000.0,960956200000.0,818324000000.0
Total Stockholder Equity,535550800000.0,365323300000.0,387647200000.0,366185700000.0
Other Current Liab,216948900000.0,202075300000.0,189988400000.0,168145200000.0
Total Assets,1609920300000.0,1508635600000.0,1369303800000.0,1203560600000.0
Common Stock,20929100000.0,19668800000.0,19668800000.0,19668800000.0
Other Current Assets,41056900000.0,35176500000.0,31592300000.0,31205500000.0
Retained Earnings,310182200000.0,324443100000.0,354286100000.0,321967000000.0
Other Liab,71513200000.0,82003200000.0,86703200000.0,71179600000.0
Treasury Stock,150926300000.0,18713500000.0,11194400000.0,22052000000.0
Other Assets,77977500000.0,78934000000.0,60382200000.0,60544600000.0
Cash,75675700000.0,7996300000.0,4142500000.0,5936000000.0
Total Current Liabilities,569303800000.0,602215100000.0,531097200000.0,458101600000.0
Deferred Long Term Asset Charges,35300000.0,35800000.0,42700000.0,
Short Long Term Debt,67203000000.0,36909900000.0,19245700000.0,6620500000.0
Other Stockholder Equity,150926300000.0,18713500000.0,11194400000.0,22052000000.0
Property Plant Equipment,712342600000.0,697096100000.0,562639400000.0,497471500000.0
Total Current Assets,519824900000.0,432517500000.0,487816500000.0,406015100000.0
Long Term Investments,199734600000.0,218199700000.0,191414200000.0,182863100000.0
Net Tangible Assets,435510100000.0,283435000000.0,320595700000.0,309519400000.0
Net Receivables,89318700000.0,132968300000.0,183713800000.0,102407800000.0
Long Term Debt,357402200000.0,380438900000.0,343155800000.0,289042800000.0
Inventory,267060200000.0,222426000000.0,229348700000.0,225309400000.0
Accounts Payable,162626700000.0,131076900000.0,178344700000.0,151982100000.0
Minority Interest,,20563300000.0,20700400000.0,19050900000.0
Short Term Investments,,2819000000.0,2167200000.0,7458600000.0
