,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,737000000.0,686000000.0,992000000.0,923000000.0
Capital Surplus,11229000000.0,11043000000.0,10890000000.0,10502000000.0
Total Liab,15897000000.0,15278000000.0,8821000000.0,7684000000.0
Total Stockholder Equity,34731000000.0,27686000000.0,24791000000.0,19364000000.0
Minority Interest,101000000.0,69000000.0,31000000.0,3000000.0
Other Current Liab,3668000000.0,3381000000.0,2286000000.0,2214000000.0
Total Assets,50729000000.0,43033000000.0,33643000000.0,27051000000.0
Common Stock,210000000.0,209000000.0,208000000.0,205000000.0
Other Current Assets,1072000000.0,948000000.0,997000000.0,1693000000.0
Retained Earnings,21777000000.0,17344000000.0,12132000000.0,6947000000.0
Other Liab,900000000.0,1622000000.0,194000000.0,47000000.0
Good Will,5827000000.0,5460000000.0,5365000000.0,4921000000.0
Treasury Stock,1515000000.0,-910000000.0,1561000000.0,1710000000.0
Other Assets,2760000000.0,1799000000.0,2123000000.0,1349000000.0
Cash,1751000000.0,2179000000.0,2048000000.0,1541000000.0
Total Current Liabilities,10982000000.0,10388000000.0,8627000000.0,7637000000.0
Deferred Long Term Asset Charges,67000000.0,311000000.0,126000000.0,272000000.0
Other Stockholder Equity,1515000000.0,-910000000.0,1561000000.0,1710000000.0
Property Plant Equipment,6379000000.0,5676000000.0,1443000000.0,1251000000.0
Total Current Assets,35026000000.0,29102000000.0,23720000000.0,18607000000.0
Long Term Investments,1644000000.0,310000000.0,,
Net Tangible Assets,28167000000.0,21540000000.0,18434000000.0,13520000000.0
Short Term Investments,3674000000.0,1164000000.0,2000000.0,
Net Receivables,15549000000.0,18726000000.0,14023000000.0,12621000000.0
Accounts Payable,2352000000.0,1975000000.0,1879000000.0,1807000000.0
