,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,4787800000.0,3647100000.0,2364600000.0,1395100000.0
Capital Surplus,94251900000.0,93557200000.0,50067100000.0,49967600000.0
Total Liab,2218703400000.0,2005227900000.0,1719751400000.0,1303047000000.0
Total Stockholder Equity,358300000000.0,313012500000.0,237400700000.0,204829400000.0
Minority Interest,224639800000.0,195601500000.0,128076500000.0,107743500000.0
Other Current Liab,233203000000.0,190923700000.0,96921000000.0,56263200000.0
Total Assets,2801643200000.0,2513841900000.0,2085228600000.0,1615619900000.0
Common Stock,795700000.0,795700000.0,795700000.0,795700000.0
Other Current Assets,77367100000.0,71922800000.0,67064500000.0,63222100000.0
Retained Earnings,256782000000.0,212331900000.0,184585400000.0,153358200000.0
Other Liab,909765800000.0,718138800000.0,707844300000.0,625044500000.0
Good Will,6893400000.0,6893400000.0,6893400000.0,6893400000.0
Treasury Stock,6470400000.0,6327700000.0,1952500000.0,707900000.0
Other Assets,2283326500000.0,2069904000000.0,1752607500000.0,1354028700000.0
Cash,29550900000.0,23955200000.0,15829100000.0,16001200000.0
Total Current Liabilities,495183200000.0,415403000000.0,334701900000.0,206510900000.0
Deferred Long Term Asset Charges,9459000000.0,8854700000.0,7798700000.0,8162800000.0
Short Long Term Debt,67162800000.0,81987800000.0,63376700000.0,39701600000.0
Other Stockholder Equity,8312600000.0,8329400000.0,2211000000.0,707900000.0
Property Plant Equipment,21031000000.0,21690200000.0,11985600000.0,9526100000.0
Total Current Assets,292634200000.0,294988400000.0,190840800000.0,241063000000.0
Long Term Investments,192970300000.0,116718800000.0,120536700000.0,2713600000.0
Net Tangible Assets,346618800000.0,302472000000.0,228142700000.0,196540900000.0
Net Receivables,34044800000.0,34981700000.0,25294900000.0,18395200000.0
Long Term Debt,808276000000.0,865629600000.0,677205200000.0,471491600000.0
Accounts Payable,40544000000.0,30320200000.0,25755000000.0,24201900000.0
