,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,3610000000.0,2520000000.0,1100000000.0,1210000000.0
Total Liab,134140000000.0,66650000000.0,88530000000.0,70000000000.0
Total Stockholder Equity,323130000000.0,403100000000.0,336050000000.0,359320000000.0
Other Current Liab,26650000000.0,28450000000.0,33990000000.0,44300000000.0
Total Assets,457270000000.0,469750000000.0,424580000000.0,429320000000.0
Common Stock,8450000000.0,8450000000.0,8450000000.0,8450000000.0
Other Current Assets,2350000000.0,2210000000.0,2330000000.0,18340000000.0
Retained Earnings,314670000000.0,394640000000.0,327590000000.0,350150000000.0
Other Liab,12180000000.0,12300000000.0,11090000000.0,9950000000.0
Treasury Stock,10000000.0,10000000.0,10000000.0,720000000.0
Other Assets,24250000000.0,32000000000.0,38540000000.0,42670000000.0
Cash,3130000000.0,18780000000.0,20000000.0,1730000000.0
Total Current Liabilities,78760000000.0,54130000000.0,77440000000.0,60050000000.0
Deferred Long Term Asset Charges,10580000000.0,18220000000.0,19250000000.0,22080000000.0
Short Long Term Debt,7040000000.0,,,
Other Stockholder Equity,10000000.0,10000000.0,10000000.0,720000000.0
Property Plant Equipment,183690000000.0,187060000000.0,169220000000.0,144010000000.0
Total Current Assets,245680000000.0,248130000000.0,215720000000.0,241430000000.0
Long Term Investments,40000000.0,40000000.0,,
Net Tangible Assets,319520000000.0,400580000000.0,334950000000.0,358110000000.0
Short Term Investments,90380000000.0,200000000.0,,
Net Receivables,5020000000.0,4250000000.0,2230000000.0,2640000000.0
Long Term Debt,43120000000.0,,,
Inventory,14930000000.0,19200000000.0,16080000000.0,16300000000.0
Accounts Payable,15700000000.0,14190000000.0,11880000000.0,9740000000.0
