,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,36900000.0,7200000.0,18559000000.0,19186900000.0
Total Liab,372383600000.0,372104700000.0,330591700000.0,299476300000.0
Total Stockholder Equity,330902900000.0,313706100000.0,307978100000.0,300411900000.0
Minority Interest,28284000000.0,27638800000.0,28684700000.0,29349100000.0
Deferred Long Term Liab,73639300000.0,73445900000.0,71100500000.0,62687400000.0
Other Current Liab,52638000000.0,25873000000.0,22001600000.0,22353600000.0
Total Assets,731570500000.0,713449600000.0,667254500000.0,629237300000.0
Common Stock,100450300000.0,100450300000.0,100450300000.0,102593200000.0
Other Current Assets,3871800000.0,5708600000.0,6018300000.0,6252200000.0
Other Liab,77366300000.0,75272400000.0,77959200000.0,71575800000.0
Treasury Stock,230452600000.0,43214100000.0,45554400000.0,42914600000.0
Other Assets,119410700000.0,184023400000.0,173714200000.0,146675600000.0
Cash,22568200000.0,421700000.0,250400000.0,205400000.0
Total Current Liabilities,62032100000.0,67742300000.0,62014200000.0,60618500000.0
Other Stockholder Equity,230452600000.0,43214100000.0,45554400000.0,42914600000.0
Property Plant Equipment,410421600000.0,415770500000.0,381530400000.0,383644700000.0
Total Current Assets,93697100000.0,95724400000.0,79849200000.0,68131000000.0
Long Term Investments,108004200000.0,17924100000.0,13601700000.0,11599100000.0
Net Tangible Assets,330866000000.0,313698900000.0,289419100000.0,281225000000.0
Short Term Investments,29409500000.0,12640100000.0,18237300000.0,29319700000.0
Net Receivables,36510700000.0,74274300000.0,53068200000.0,30468200000.0
Long Term Debt,232834200000.0,228958600000.0,190618300000.0,167282000000.0
Inventory,1336900000.0,1266200000.0,1251800000.0,1046800000.0
Accounts Payable,2133800000.0,3166600000.0,1962700000.0,2001000000.0
Retained Earnings,,170041700000.0,161973400000.0,152476000000.0
Short Long Term Debt,,16169500000.0,16051600000.0,15939100000.0
Capital Surplus,,,,2428100000.0
