,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,3003441000.0,685135000.0,328535000.0,328076000.0
Capital Surplus,173785078000.0,252776848000.0,151814744000.0,110736572000.0
Total Liab,10176396169000.0,5215196495000.0,4717448829000.0,4658686897000.0
Total Stockholder Equity,646337743000.0,338853989000.0,267316483000.0,252518083000.0
Minority Interest,1040035000.0,1040035000.0,1040035000.0,
Other Current Liab,23030334000.0,9091800000.0,11712584000.0,12688835000.0
Total Assets,10823773947000.0,5555090519000.0,4985805347000.0,4911204980000.0
Common Stock,64068444000.0,34228189000.0,17630163000.0,11685734000.0
Other Current Assets,481041059000.0,222347777000.0,253011677000.0,232976111000.0
Retained Earnings,297005191000.0,1942308000.0,61016408000.0,92857751000.0
Other Liab,345796756000.0,135834181000.0,80244448000.0,51228202000.0
Treasury Stock,111479030000.0,49906644000.0,36855168000.0,37238026000.0
Other Assets,6371841177000.0,3370998981000.0,3174875600000.0,3087252719000.0
Cash,506641213000.0,371348576000.0,236136085000.0,297542322000.0
Total Current Liabilities,9311377101000.0,4552221733000.0,4204448424000.0,4150654779000.0
Deferred Long Term Asset Charges,156750030000.0,73568800000.0,51892547000.0,41981427000.0
Other Stockholder Equity,111479030000.0,49906644000.0,36855168000.0,37238026000.0
Property Plant Equipment,70660760000.0,47069858000.0,37416023000.0,38132419000.0
Total Current Assets,987683510000.0,593696743000.0,489148152000.0,530518823000.0
Long Term Investments,3390585059000.0,1542514860000.0,1283912095000.0,1254848001000.0
Net Tangible Assets,643334302000.0,338043912000.0,266863006000.0,252065065000.0
Long Term Debt,519222312000.0,527140581000.0,432755957000.0,456803916000.0
Inventory,1238000.0,390000.0,390000.0,390000.0
Accounts Payable,9256539262000.0,4524361458000.0,4175048090000.0,4102884313000.0
Good Will,,124942000.0,124942000.0,124942000.0
