,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,869800000.0,821400000.0,764900000.0,766500000.0
Total Liab,57169100000.0,51257700000.0,36620900000.0,30528200000.0
Total Stockholder Equity,57317000000.0,50013500000.0,45370000000.0,41126400000.0
Minority Interest,63100000.0,56400000.0,47000000.0,39900000.0
Other Current Liab,11156400000.0,6925400000.0,6870200000.0,6914900000.0
Total Assets,114549200000.0,101327600000.0,82037900000.0,71694500000.0
Common Stock,235900000.0,235600000.0,235600000.0,235600000.0
Other Current Assets,1758800000.0,1059200000.0,1232300000.0,1300500000.0
Other Liab,11269700000.0,9490500000.0,8933600000.0,8100100000.0
Treasury Stock,57081100000.0,846200000.0,610800000.0,595900000.0
Other Assets,4791200000.0,5366700000.0,4719100000.0,2748400000.0
Cash,1438300000.0,639300000.0,596300000.0,890400000.0
Total Current Liabilities,24193700000.0,23363200000.0,20675500000.0,18240300000.0
Deferred Long Term Asset Charges,3500000.0,4000000.0,4200000.0,
Short Long Term Debt,6169800000.0,3916900000.0,2064100000.0,1191600000.0
Other Stockholder Equity,57081100000.0,846200000.0,610800000.0,595900000.0
Property Plant Equipment,91015800000.0,76606500000.0,60141400000.0,52776900000.0
Total Current Assets,14589100000.0,15757100000.0,13805100000.0,12985900000.0
Long Term Investments,3283300000.0,2775900000.0,2607400000.0,2416800000.0
Net Tangible Assets,56447200000.0,49192100000.0,44605100000.0,40359900000.0
Short Term Investments,1362100000.0,,60000000.0,
Net Receivables,4036500000.0,7429000000.0,6045300000.0,5074400000.0
Long Term Debt,21626200000.0,18323400000.0,7011800000.0,4187800000.0
Inventory,5993400000.0,6468800000.0,5610800000.0,5612500000.0
Accounts Payable,3645200000.0,3429800000.0,2583600000.0,2683300000.0
Retained Earnings,,48931700000.0,44523600000.0,40294900000.0
