,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,7490000000.0,9238600000.0,8277400000.0,8011200000.0
Total Liab,2697040300000.0,2563290900000.0,2323967500000.0,1778504300000.0
Total Stockholder Equity,1257384700000.0,1188391600000.0,1113562100000.0,1035634700000.0
Minority Interest,35237100000.0,33171900000.0,29082000000.0,9477700000.0
Deferred Long Term Liab,115532800000.0,93977300000.0,36280300000.0,87394000000.0
Other Current Liab,279793700000.0,240301000000.0,353676200000.0,201256700000.0
Total Assets,3989662100000.0,3784854400000.0,3466611600000.0,2823616700000.0
Common Stock,96966700000.0,98945600000.0,98945600000.0,82454600000.0
Other Current Assets,75393500000.0,59527600000.0,130206700000.0,118407200000.0
Retained Earnings,1134185500000.0,1041105700000.0,957399800000.0,857672000000.0
Other Liab,173592300000.0,157673400000.0,106804900000.0,154246400000.0
Treasury Stock,26232500000.0,26055700000.0,34932100000.0,73223500000.0
Other Assets,313084900000.0,263043400000.0,209010800000.0,225848700000.0
Cash,9500200000.0,5895200000.0,3237400000.0,3831100000.0
Total Current Liabilities,710728900000.0,645417300000.0,746525500000.0,456499800000.0
Deferred Long Term Asset Charges,10758900000.0,10966000000.0,,
Short Long Term Debt,128095500000.0,79352200000.0,85895700000.0,65581100000.0
Other Stockholder Equity,26232500000.0,26055700000.0,34932100000.0,73223500000.0
Property Plant Equipment,3000022100000.0,2853874000000.0,2685536500000.0,2108304000000.0
Total Current Assets,568172500000.0,565632500000.0,482463800000.0,392696700000.0
Long Term Investments,100892600000.0,93065900000.0,81323100000.0,88756100000.0
Net Tangible Assets,1249894700000.0,1179153000000.0,1105284700000.0,1027623500000.0
Short Term Investments,21145200000.0,11076700000.0,9806800000.0,9477300000.0
Net Receivables,359037700000.0,377747600000.0,256696700000.0,199578200000.0
Long Term Debt,1805362100000.0,1752826100000.0,1469134000000.0,1166257300000.0
Inventory,98096000000.0,111385400000.0,82516200000.0,61402900000.0
Accounts Payable,87262800000.0,101085800000.0,86143200000.0,67075500000.0
Capital Surplus,,22284600000.0,22284600000.0,22284600000.0
