,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,1102233000000.0,812592000000.0,868434000000.0,883278000000.0
Total Liab,2648012000000.0,2586495000000.0,1902080000000.0,1722333000000.0
Total Stockholder Equity,589527000000.0,771448000000.0,714222000000.0,695344000000.0
Minority Interest,222739000000.0,249847000000.0,135258000000.0,88139000000.0
Other Current Liab,566475000000.0,676290000000.0,205842000000.0,166829000000.0
Total Assets,3460278000000.0,3607790000000.0,2751560000000.0,2505816000000.0
Common Stock,589527000000.0,27278000000.0,19987000000.0,19987000000.0
Other Current Assets,143262000000.0,279361000000.0,41979000000.0,44077000000.0
Other Liab,174964000000.0,117149000000.0,99492000000.0,90514000000.0
Other Assets,362563000000.0,388878000000.0,207370000000.0,107545000000.0
Cash,134661000000.0,135507000000.0,62121000000.0,49552000000.0
Total Current Liabilities,1116359000000.0,1314876000000.0,930134000000.0,782399000000.0
Short Long Term Debt,271163000000.0,98364000000.0,71732000000.0,129469000000.0
Property Plant Equipment,1189828000000.0,1176594000000.0,903661000000.0,758168000000.0
Total Current Assets,547529000000.0,766432000000.0,328642000000.0,334990000000.0
Long Term Investments,258125000000.0,117102000000.0,110891000000.0,93765000000.0
Net Tangible Assets,-512706000000.0,-387336000000.0,-486774000000.0,-516004000000.0
Short Term Investments,233229000000.0,1441000000.0,2942000000.0,6803000000.0
Net Receivables,36377000000.0,201240000000.0,166283000000.0,159756000000.0
Long Term Debt,1026736000000.0,910792000000.0,824901000000.0,805521000000.0
Accounts Payable,278721000000.0,250199000000.0,263138000000.0,268536000000.0
Capital Surplus,,508319000000.0,123456000000.0,123456000000.0
Deferred Long Term Liab,,6471000000.0,,
Retained Earnings,,135586000000.0,477782000000.0,498521000000.0
Good Will,,346192000000.0,332562000000.0,328070000000.0
Treasury Stock,,100265000000.0,92997000000.0,53380000000.0
Deferred Long Term Asset Charges,,270160000000.0,89379000000.0,29330000000.0
Other Stockholder Equity,,101053000000.0,93551000000.0,54022000000.0
Inventory,,1569000000.0,884000000.0,693000000.0
