,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,201311000.0,375747000.0,410094000.0,236402000.0
Capital Surplus,40598000.0,14526000.0,,
Total Liab,2164300022000.0,1568369765000.0,1391574894000.0,1151926188000.0
Total Stockholder Equity,104004364000.0,87430838000.0,75763556000.0,65278179000.0
Other Current Liab,20694944000.0,13480655000.0,22288227000.0,19469032000.0
Total Assets,2268304386000.0,1655800603000.0,1467338450000.0,1217204367000.0
Common Stock,10000709000.0,10000263000.0,10000000000.0,10000000000.0
Other Current Assets,6153429000.0,3758387000.0,4333427000.0,4331903000.0
Retained Earnings,90881586000.0,78823269000.0,64601438000.0,53744580000.0
Other Liab,2121916315000.0,1538148050000.0,1354214790000.0,1116279458000.0
Treasury Stock,3081471000.0,-1407220000.0,1162118000.0,1533599000.0
Other Assets,2132094904000.0,1555797356000.0,1367789599000.0,1124019578000.0
Cash,27071532000.0,14198665000.0,24173208000.0,25606183000.0
Total Current Liabilities,42383707000.0,30221715000.0,37360104000.0,35646730000.0
Other Stockholder Equity,3081471000.0,-1407220000.0,1162118000.0,1533599000.0
Property Plant Equipment,5452998000.0,5436101000.0,5542139000.0,5576517000.0
Total Current Assets,52424987000.0,31952078000.0,40569479000.0,40898807000.0
Long Term Investments,78130186000.0,62239321000.0,53027139000.0,46473063000.0
Net Tangible Assets,103803053000.0,87055091000.0,75353462000.0,65041777000.0
Short Term Investments,7348735000.0,6040141000.0,4205256000.0,3670410000.0
Net Receivables,11804391000.0,7954885000.0,7857588000.0,7290311000.0
Accounts Payable,17520333000.0,13358288000.0,11683685000.0,13640022000.0
