,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-121064405000.0,-167722413000.0,-128871464000.0,-103162446000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-50840870000.0,-107973703000.0,-75586564000.0,-53887626000.0
Net Borrowings,12000000000.0,12000000000.0,12000000000.0,12000000000.0
Total Cash From Financing Activities,12045465000.0,-4052841000.0,-8433849000.0,-11877304000.0
Issuance Of Stock,45487000.0,14343000.0,44664000.0,39580000.0
Net Income,9561554000.0,10669794000.0,11389262000.0,16191653000.0
Change In Cash,34340485000.0,-26062141000.0,29747731000.0,-8866022000.0
Effect Of Exchange Rate,30000.0,184000.0,-154000.0,30000.0
Total Cash From Operating Activities,73135860000.0,85964219000.0,113768298000.0,56898878000.0
Depreciation,475561000.0,605626000.0,567198000.0,437043000.0
Other Cashflows From Investing Activities,72570507000.0,62316894000.0,55612647000.0,50594872000.0
Dividends Paid,-22000.0,-3373603000.0,-5454044333.0,-6600404377.0
Change To Netincome,62975724000.0,74688799000.0,101811838000.0,37530437000.0
Capital Expenditures,-842253000.0,-662959000.0,-1122949000.0,-698378000.0
Other Cashflows From Financing Activities,,-693581000.0,-1445914000.0,-2016339000.0
