,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,4000000.0,-19800000.0,-177600000.0,-148500000.0
Change To Liabilities,-2895600000.0,-6292300000.0,5132800000.0,3113200000.0
Total Cashflows From Investing Activities,-12572300000.0,-2219300000.0,-5970600000.0,320400000.0
Net Borrowings,-16424300000.0,-13734800000.0,2315700000.0,4437100000.0
Total Cash From Financing Activities,-22631600000.0,-17231000000.0,-2441100000.0,-10000000.0
Change To Operating Activities,17063800000.0,3142300000.0,2587900000.0,-6595200000.0
Issuance Of Stock,143800000.0,136600000.0,45200000.0,167300000.0
Net Income,13291500000.0,10650400000.0,7204800000.0,6913100000.0
Change In Cash,6415600000.0,-815900000.0,-3143900000.0,2998100000.0
Effect Of Exchange Rate,-5900000.0,14700000.0,3800000.0,-100000.0
Total Cash From Operating Activities,41501500000.0,18619700000.0,5264000000.0,2632600000.0
Depreciation,1730800000.0,1580100000.0,1138400000.0,991300000.0
Other Cashflows From Investing Activities,-10530700000.0,359000000.0,217300000.0,1766000000.0
Dividends Paid,-5277200000.0,-1234300000.0,-2291500000.0,-2813300000.0
Change To Inventory,1082500000.0,5442600000.0,-9789000000.0,-4964400000.0
Change To Account Receivables,11697500000.0,826500000.0,-2532200000.0,906500000.0
Other Cashflows From Financing Activities,-1073900000.0,-2398500000.0,-2510500000.0,-1801100000.0
Change To Netincome,-469000000.0,3270100000.0,1521300000.0,2268100000.0
Capital Expenditures,-1882200000.0,-2560900000.0,-2730500000.0,-1230200000.0
