,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-12734930000.0,-2360070000.0,-2663830000.0,-1658690000.0
Change To Liabilities,503700000.0,1015450000.0,-49280000.0,116520000.0
Total Cashflows From Investing Activities,-13376220000.0,-2325650000.0,-2758040000.0,-1652530000.0
Net Borrowings,-55420000.0,-166270000.0,-166270000.0,-166270000.0
Total Cash From Financing Activities,10383000000.0,-513040000.0,141480000.0,152490000.0
Change To Operating Activities,-35340000.0,20280000.0,1733490000.0,1182270000.0
Issuance Of Stock,10709630000.0,19310000.0,143980000.0,112710000.0
Net Income,2797740000.0,1473820000.0,200440000.0,547590000.0
Change In Cash,231810000.0,-232580000.0,-65150000.0,290520000.0
Total Cash From Operating Activities,3225030000.0,2606110000.0,2551410000.0,1790560000.0
Depreciation,158830000.0,209000000.0,38350000.0,25040000.0
Other Cashflows From Investing Activities,-645290000.0,79550000.0,-43040000.0,28020000.0
Dividends Paid,-14910000.0,-333250000.0,-333250000.0,-333250000.0
Change To Account Receivables,2640000.0,-11120000.0,270000.0,-1480000.0
Other Cashflows From Financing Activities,-256300000.0,-32830000.0,-2500000.0,-2500000.0
Change To Netincome,-204360000.0,-103770000.0,625220000.0,-83190000.0
Capital Expenditures,-340000.0,-46390000.0,-51700000.0,-22920000.0
