,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-10291300000.0,-4115300000.0,-7304000000.0,-5529400000.0
Net Borrowings,3168000000.0,24000000000.0,-5653000000.0,-7000000000.0
Total Cash From Financing Activities,1057082100000.0,340775700000.0,730914500000.0,324455100000.0
Change To Operating Activities,-689031000000.0,-400836600000.0,-665640000000.0,-488699700000.0
Issuance Of Stock,19912300000.0,65087100000.0,5572900000.0,48650000000.0
Net Income,28906000000.0,-19864316000.0,6018528000.0,-39513951000.0
Change In Cash,582912900000.0,20585800000.0,163066400000.0,-87427800000.0
Effect Of Exchange Rate,-873300000.0,-337300000.0,-150900000.0,654800000.0
Total Cash From Operating Activities,-463004600000.0,-315737300000.0,-560393200000.0,-407008300000.0
Depreciation,8380400000.0,4459100000.0,4288300000.0,4563300000.0
Other Cashflows From Investing Activities,1159400000.0,1977200000.0,464600000.0,816200000.0
Other Cashflows From Financing Activities,1034001800000.0,251688600000.0,730994600000.0,283489500000.0
Change To Netincome,188740000000.0,100504516000.0,94939972000.0,116642051000.0
Capital Expenditures,-9227200000.0,-3378200000.0,-6057200000.0,-4595800000.0
Dividends Paid,,,,-684400000.0
