,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-108159952000.0,-127861849000.0,-28708380000.0,-38309092000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-111161363000.0,-131988736000.0,-33825595000.0,-56082470000.0
Net Borrowings,-178378154000.0,-8622215000.0,78349648000.0,88925671000.0
Total Cash From Financing Activities,83991570000.0,348409513000.0,419530547000.0,503752026000.0
Change To Operating Activities,-222637635000.0,-14804378000.0,-394590029000.0,-529449695000.0
Issuance Of Stock,78437487000.0,3606107000.0,2235908000.0,59531804000.0
Net Income,99902039000.0,85933610000.0,72041305000.0,62009736000.0
Change In Cash,-163632282000.0,328153870000.0,68638290000.0,-11879167000.0
Effect Of Exchange Rate,-561770000.0,1304275000.0,594120000.0,63518000.0
Total Cash From Operating Activities,-135900719000.0,110428818000.0,-317660782000.0,-460882067000.0
Depreciation,4610504000.0,4648883000.0,4584215000.0,3834314000.0
Dividends Paid,-405000000.0,-1932583000.0,-1602824000.0,-1376334000.0
Other Cashflows From Financing Activities,184337237000.0,355358204000.0,335547815000.0,356670885000.0
Change To Netincome,-17775627000.0,34650703000.0,303727000.0,2723578000.0
Capital Expenditures,-3685902000.0,-4526218000.0,-5249629000.0,-4258377000.0
