,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-6358400000.0,2438550000.0,5099390000.0,5038670000.0
Change To Liabilities,-924810000.0,-1442350000.0,2807370000.0,1114750000.0
Total Cashflows From Investing Activities,-8218810000.0,1407430000.0,2892980000.0,4925140000.0
Net Borrowings,-1736300000.0,-1553420000.0,1245570000.0,1281120000.0
Total Cash From Financing Activities,-8614700000.0,-8247160000.0,-13417690000.0,-13797420000.0
Change To Operating Activities,1292260000.0,85520000.0,402110000.0,-950780000.0
Issuance Of Stock,268030000.0,151400000.0,103690000.0,28720000.0
Net Income,12168050000.0,11848370000.0,10733540000.0,8374990000.0
Change In Cash,-2168570000.0,6379990000.0,-1121980000.0,-1490900000.0
Effect Of Exchange Rate,119620000.0,9510000.0,-94480000.0,148210000.0
Total Cash From Operating Activities,14545320000.0,13210210000.0,9497210000.0,7233170000.0
Depreciation,2178410000.0,2053470000.0,498810000.0,460710000.0
Other Cashflows From Investing Activities,196670000.0,211980000.0,304780000.0,199750000.0
Dividends Paid,-6526780000.0,-5031070000.0,-4654820000.0,-3280920000.0
Change To Account Receivables,-820640000.0,1779250000.0,-4630510000.0,-1666440000.0
Other Cashflows From Financing Activities,-619650000.0,-1814070000.0,-162940000.0,-766000000.0
Change To Netincome,412580000.0,-1376890000.0,-573740000.0,-347600000.0
Capital Expenditures,-1261650000.0,-1261180000.0,-848900000.0,-327050000.0
Repurchase Of Stock,,,-9949190000.0,-11060340000.0
