,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-2121900000.0,-2121900000.0,-2121900000.0,-2121900000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-4713900000.0,-1390100000.0,-25373735000.0,-4136293000.0
Net Borrowings,8191000000.0,81097000000.0,5543000000.0,-4417502000.0
Total Cash From Financing Activities,216961600000.0,458998000000.0,625858533000.0,-63924236000.0
Change To Operating Activities,-440173000000.0,-524131200000.0,-730003676000.0,-664314017000.0
Issuance Of Stock,1101600000.0,82934000000.0,50816166000.0,53750000000.0
Net Income,15476657000.0,9277510000.0,11001011000.0,-18871074000.0
Change In Cash,-23439400000.0,331202300000.0,4620935000.0,-566922534000.0
Total Cash From Operating Activities,-235687100000.0,-296517900000.0,-595863863000.0,-498862005000.0
Depreciation,13573000000.0,16972400000.0,9482501000.0,9006900000.0
Other Cashflows From Financing Activities,207669000000.0,294967000000.0,569499367000.0,-109928856000.0
Change To Netincome,175436243000.0,201363390000.0,113656301000.0,175316186000.0
Capital Expenditures,-27860500000.0,-33033700000.0,-26660343000.0,-6130564000.0
Dividends Paid,,,,-3327878000.0
