,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-10788300000.0,4009000000.0,-4858700000.0,-3392100000.0
Change To Liabilities,1985000000.0,-978900000.0,947800000.0,647800000.0
Total Cashflows From Investing Activities,-18263800000.0,-5207200000.0,-11208400000.0,-7169900000.0
Net Borrowings,-1009800000.0,-409300000.0,-409300000.0,-409300000.0
Total Cash From Financing Activities,-2969800000.0,-2434800000.0,-1688300000.0,-842300000.0
Change To Operating Activities,2337700000.0,2219600000.0,1658700000.0,434800000.0
Net Income,11725500000.0,12489900000.0,8421000000.0,7217200000.0
Change In Cash,-5773900000.0,5965500000.0,-1325200000.0,781100000.0
Total Cash From Operating Activities,15459700000.0,13607500000.0,11571500000.0,8793300000.0
Depreciation,2903900000.0,2452700000.0,1950500000.0,1762500000.0
Other Cashflows From Investing Activities,1353700000.0,416000000.0,457500000.0,920600000.0
Dividends Paid,-1960000000.0,-1680000000.0,-1397000000.0,-699800000.0
Change To Inventory,50000000.0,1000000.0,14500000.0,5000000.0
Change To Account Receivables,-900000000.0,478700000.0,20700000.0,-246600000.0
Change To Netincome,-2642400000.0,-3125300000.0,-1501900000.0,-1077800000.0
Capital Expenditures,-8829200000.0,-9632200000.0,-6807200000.0,-4698800000.0
Other Cashflows From Financing Activities,,-345500000.0,-291300000.0,-142500000.0
