,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-67706600000.0,-94338400000.0,-101243600000.0,-79002400000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-69583300000.0,-98736500000.0,-103156100000.0,-79536500000.0
Net Borrowings,38849900000.0,124998900000.0,503967900000.0,426930800000.0
Total Cash From Financing Activities,316649800000.0,386898200000.0,549856300000.0,633441000000.0
Change To Operating Activities,-19800000.0,-8300700000.0,-30051600000.0,-58070700000.0
Issuance Of Stock,119162100000.0,15898100000.0,66222800000.0,144391900000.0
Net Income,187400600000.0,214345700000.0,162317600000.0,119799000000.0
Change In Cash,-25697800000.0,20151500000.0,3686100000.0,-25375500000.0
Total Cash From Operating Activities,-272764300000.0,-268010200000.0,-443014100000.0,-579280100000.0
Depreciation,4117400000.0,3150000000.0,1317000000.0,1095400000.0
Dividends Paid,-36426800000.0,-30234900000.0,-34072800000.0,-29568800000.0
Other Cashflows From Financing Activities,195064600000.0,276236100000.0,13738400000.0,91687100000.0
Change To Netincome,-464883700000.0,-477538300000.0,-576902100000.0,-642479900000.0
Capital Expenditures,-1586800000.0,-3561400000.0,-2117800000.0,-2475300000.0
